index,sign,astrology_sign,importance
54776,capricorn and it's fun to think about,capricorn,fun
54777,pisces and it's fun to think about,pisces,fun
54778,gemini and it's fun to think about,gemini,fun
54779,Unknown,Unknown,Unknown
54780,gemini,gemini,no importance
54781,pisces,pisces,no importance
54782,Unknown,Unknown,Unknown
54783,taurus,taurus,no importance
54784,capricorn but it doesn't matter,capricorn,no importance
54785,sagittarius and it's fun to think about,sagittarius,fun
54786,pisces but it doesn't matter,pisces,no importance
54787,pisces but it doesn't matter,pisces,no importance
54788,sagittarius and it's fun to think about,sagittarius,fun
54789,pisces but it doesn't matter,pisces,no importance
54790,libra,libra,no importance
54791,taurus and it's fun to think about,taurus,fun
54792,Unknown,Unknown,Unknown
54793,aquarius and it's fun to think about,aquarius,fun
54794,sagittarius and it's fun to think about,sagittarius,fun
54795,Unknown,Unknown,Unknown
54796,libra and it's fun to think about,libra,fun
54797,capricorn and it's fun to think about,capricorn,fun
54798,aquarius,aquarius,no importance
54799,aries,aries,no importance
54800,aries and it's fun to think about,aries,fun
54801,scorpio but it doesn't matter,scorpio,no importance
54802,taurus and it's fun to think about,taurus,fun
54803,cancer and it's fun to think about,cancer,fun
54804,scorpio but it doesn't matter,scorpio,no importance
54805,Unknown,Unknown,Unknown
54806,pisces,pisces,no importance
54807,leo and it's fun to think about,leo,fun
54808,aries and it matters a lot,aries,importance
54809,leo,leo,no importance
54810,virgo and it's fun to think about,virgo,fun
54811,pisces and it's fun to think about,pisces,fun
54812,Unknown,Unknown,Unknown
54813,sagittarius,sagittarius,no importance
54814,leo,leo,no importance
54815,Unknown,Unknown,Unknown
54816,libra,libra,no importance
54817,gemini and it's fun to think about,gemini,fun
54818,Unknown,Unknown,Unknown
54819,sagittarius but it doesn't matter,sagittarius,no importance
54820,sagittarius but it doesn't matter,sagittarius,no importance
54821,virgo and it's fun to think about,virgo,fun
54822,Unknown,Unknown,Unknown
54823,scorpio but it doesn't matter,scorpio,no importance
54824,taurus but it doesn't matter,taurus,no importance
54825,aries,aries,no importance
54826,sagittarius,sagittarius,no importance
54827,scorpio and it's fun to think about,scorpio,fun
54828,Unknown,Unknown,Unknown
54829,aquarius but it doesn't matter,aquarius,no importance
54830,sagittarius but it doesn't matter,sagittarius,no importance
54831,taurus and it's fun to think about,taurus,fun
54832,scorpio but it doesn't matter,scorpio,no importance
54833,aquarius and it's fun to think about,aquarius,fun
54834,pisces and it's fun to think about,pisces,fun
54835,aquarius and it's fun to think about,aquarius,fun
54836,Unknown,Unknown,Unknown
54837,libra and it matters a lot,libra,importance
54838,aries and it's fun to think about,aries,fun
54839,libra but it doesn't matter,libra,no importance
54840,Unknown,Unknown,Unknown
54841,cancer but it doesn't matter,cancer,no importance
54842,Unknown,Unknown,Unknown
54843,aries,aries,no importance
54844,capricorn and it's fun to think about,capricorn,fun
54845,sagittarius but it doesn't matter,sagittarius,no importance
54846,aries and it's fun to think about,aries,fun
54847,Unknown,Unknown,Unknown
54848,aries and it's fun to think about,aries,fun
54849,virgo but it doesn't matter,virgo,no importance
54850,Unknown,Unknown,Unknown
54851,Unknown,Unknown,Unknown
54852,leo,leo,no importance
54853,cancer and it's fun to think about,cancer,fun
54854,sagittarius and it's fun to think about,sagittarius,fun
54855,aquarius but it doesn't matter,aquarius,no importance
54856,Unknown,Unknown,Unknown
54857,taurus but it doesn't matter,taurus,no importance
54858,leo and it matters a lot,leo,importance
54859,cancer and it's fun to think about,cancer,fun
54860,gemini and it's fun to think about,gemini,fun
54861,cancer but it doesn't matter,cancer,no importance
54862,Unknown,Unknown,Unknown
54863,Unknown,Unknown,Unknown
54864,cancer,cancer,no importance
54865,cancer,cancer,no importance
54866,Unknown,Unknown,Unknown
54867,aries but it doesn't matter,aries,no importance
54868,aries and it's fun to think about,aries,fun
54869,scorpio and it matters a lot,scorpio,importance
54870,pisces but it doesn't matter,pisces,no importance
54871,pisces,pisces,no importance
54872,Unknown,Unknown,Unknown
54873,virgo but it doesn't matter,virgo,no importance
54874,leo but it doesn't matter,leo,no importance
54875,cancer but it doesn't matter,cancer,no importance
54876,pisces and it's fun to think about,pisces,fun
54877,pisces,pisces,no importance
54878,pisces but it doesn't matter,pisces,no importance
54879,gemini but it doesn't matter,gemini,no importance
54880,taurus and it's fun to think about,taurus,fun
54881,leo,leo,no importance
54882,Unknown,Unknown,Unknown
54883,libra and it's fun to think about,libra,fun
54884,libra but it doesn't matter,libra,no importance
54885,pisces and it's fun to think about,pisces,fun
54886,virgo but it doesn't matter,virgo,no importance
54887,capricorn and it's fun to think about,capricorn,fun
54888,Unknown,Unknown,Unknown
54889,taurus,taurus,no importance
54890,pisces but it doesn't matter,pisces,no importance
54891,scorpio,scorpio,no importance
54892,virgo and it's fun to think about,virgo,fun
54893,libra and it's fun to think about,libra,fun
54894,capricorn and it's fun to think about,capricorn,fun
54895,cancer,cancer,no importance
54896,aquarius and it's fun to think about,aquarius,fun
54897,capricorn,capricorn,no importance
54898,taurus,taurus,no importance
54899,Unknown,Unknown,Unknown
54900,pisces,pisces,no importance
54901,aquarius,aquarius,no importance
54902,aquarius but it doesn't matter,aquarius,no importance
54903,scorpio and it's fun to think about,scorpio,fun
54904,pisces and it's fun to think about,pisces,fun
54905,libra but it doesn't matter,libra,no importance
54906,gemini and it's fun to think about,gemini,fun
54907,scorpio but it doesn't matter,scorpio,no importance
54908,leo but it doesn't matter,leo,no importance
54909,scorpio,scorpio,no importance
54910,capricorn and it's fun to think about,capricorn,fun
54911,cancer but it doesn't matter,cancer,no importance
54912,cancer but it doesn't matter,cancer,no importance
54913,scorpio and it's fun to think about,scorpio,fun
54914,scorpio and it's fun to think about,scorpio,fun
54915,Unknown,Unknown,Unknown
54916,cancer,cancer,no importance
54917,leo and it's fun to think about,leo,fun
54918,aries and it's fun to think about,aries,fun
54919,aries and it's fun to think about,aries,fun
54920,aquarius and it's fun to think about,aquarius,fun
54921,Unknown,Unknown,Unknown
54922,libra but it doesn't matter,libra,no importance
54923,gemini and it's fun to think about,gemini,fun
54924,libra but it doesn't matter,libra,no importance
54925,scorpio,scorpio,no importance
54926,leo but it doesn't matter,leo,no importance
54927,libra and it matters a lot,libra,importance
54928,leo,leo,no importance
54929,virgo but it doesn't matter,virgo,no importance
54930,taurus but it doesn't matter,taurus,no importance
54931,taurus,taurus,no importance
54932,pisces,pisces,no importance
54933,pisces but it doesn't matter,pisces,no importance
54934,Unknown,Unknown,Unknown
54935,scorpio and it's fun to think about,scorpio,fun
54936,cancer but it doesn't matter,cancer,no importance
54937,sagittarius but it doesn't matter,sagittarius,no importance
54938,sagittarius but it doesn't matter,sagittarius,no importance
54939,pisces,pisces,no importance
54940,capricorn,capricorn,no importance
54941,gemini but it doesn't matter,gemini,no importance
54942,sagittarius,sagittarius,no importance
54943,leo and it's fun to think about,leo,fun
54944,gemini and it's fun to think about,gemini,fun
54945,libra but it doesn't matter,libra,no importance
54946,taurus,taurus,no importance
54947,aquarius,aquarius,no importance
54948,Unknown,Unknown,Unknown
54949,cancer but it doesn't matter,cancer,no importance
54950,Unknown,Unknown,Unknown
54951,sagittarius but it doesn't matter,sagittarius,no importance
54952,aries and it's fun to think about,aries,fun
54953,Unknown,Unknown,Unknown
54954,leo but it doesn't matter,leo,no importance
54955,Unknown,Unknown,Unknown
54956,aries and it's fun to think about,aries,fun
54957,sagittarius,sagittarius,no importance
54958,taurus and it's fun to think about,taurus,fun
54959,cancer,cancer,no importance
54960,Unknown,Unknown,Unknown
54961,pisces and it's fun to think about,pisces,fun
54962,cancer and it's fun to think about,cancer,fun
54963,aries and it's fun to think about,aries,fun
54964,cancer but it doesn't matter,cancer,no importance
54965,pisces but it doesn't matter,pisces,no importance
54966,gemini and it's fun to think about,gemini,fun
54967,aries but it doesn't matter,aries,no importance
54968,scorpio but it doesn't matter,scorpio,no importance
54969,libra and it's fun to think about,libra,fun
54970,virgo,virgo,no importance
54971,Unknown,Unknown,Unknown
54972,leo but it doesn't matter,leo,no importance
54973,pisces and it's fun to think about,pisces,fun
54974,Unknown,Unknown,Unknown
54975,Unknown,Unknown,Unknown
54976,Unknown,Unknown,Unknown
54977,taurus,taurus,no importance
54978,sagittarius and it's fun to think about,sagittarius,fun
54979,scorpio,scorpio,no importance
54980,aquarius but it doesn't matter,aquarius,no importance
54981,Unknown,Unknown,Unknown
54982,aries,aries,no importance
54983,virgo and it's fun to think about,virgo,fun
54984,Unknown,Unknown,Unknown
54985,aries and it's fun to think about,aries,fun
54986,gemini but it doesn't matter,gemini,no importance
54987,libra,libra,no importance
54988,virgo and it's fun to think about,virgo,fun
54989,pisces,pisces,no importance
54990,pisces,pisces,no importance
54991,capricorn and it's fun to think about,capricorn,fun
54992,leo,leo,no importance
54993,pisces but it doesn't matter,pisces,no importance
54994,virgo and it's fun to think about,virgo,fun
54995,aries,aries,no importance
54996,Unknown,Unknown,Unknown
54997,pisces but it doesn't matter,pisces,no importance
54998,Unknown,Unknown,Unknown
54999,gemini and it's fun to think about,gemini,fun
55000,capricorn,capricorn,no importance
55001,leo and it's fun to think about,leo,fun
55002,cancer and it's fun to think about,cancer,fun
55003,gemini and it's fun to think about,gemini,fun
55004,virgo and it's fun to think about,virgo,fun
55005,leo and it's fun to think about,leo,fun
55006,cancer but it doesn't matter,cancer,no importance
55007,pisces and it's fun to think about,pisces,fun
55008,taurus and it's fun to think about,taurus,fun
55009,gemini,gemini,no importance
55010,aries but it doesn't matter,aries,no importance
55011,gemini but it doesn't matter,gemini,no importance
55012,scorpio but it doesn't matter,scorpio,no importance
55013,scorpio,scorpio,no importance
55014,capricorn,capricorn,no importance
55015,sagittarius and it's fun to think about,sagittarius,fun
55016,taurus but it doesn't matter,taurus,no importance
55017,taurus and it's fun to think about,taurus,fun
55018,Unknown,Unknown,Unknown
55019,libra and it's fun to think about,libra,fun
55020,Unknown,Unknown,Unknown
55021,cancer,cancer,no importance
55022,Unknown,Unknown,Unknown
55023,Unknown,Unknown,Unknown
55024,aries and it's fun to think about,aries,fun
55025,aries and it's fun to think about,aries,fun
55026,taurus and it matters a lot,taurus,importance
55027,libra and it's fun to think about,libra,fun
55028,scorpio and it's fun to think about,scorpio,fun
55029,pisces,pisces,no importance
55030,scorpio but it doesn't matter,scorpio,no importance
55031,Unknown,Unknown,Unknown
55032,aquarius and it's fun to think about,aquarius,fun
55033,cancer,cancer,no importance
55034,libra,libra,no importance
55035,taurus,taurus,no importance
55036,leo,leo,no importance
55037,gemini and it's fun to think about,gemini,fun
55038,sagittarius but it doesn't matter,sagittarius,no importance
55039,taurus,taurus,no importance
55040,taurus and it's fun to think about,taurus,fun
55041,capricorn but it doesn't matter,capricorn,no importance
55042,aquarius,aquarius,no importance
55043,taurus,taurus,no importance
55044,gemini and it's fun to think about,gemini,fun
55045,capricorn but it doesn't matter,capricorn,no importance
55046,aquarius and it's fun to think about,aquarius,fun
55047,gemini and it's fun to think about,gemini,fun
55048,scorpio and it's fun to think about,scorpio,fun
55049,capricorn and it's fun to think about,capricorn,fun
55050,taurus and it's fun to think about,taurus,fun
55051,libra and it's fun to think about,libra,fun
55052,Unknown,Unknown,Unknown
55053,cancer but it doesn't matter,cancer,no importance
55054,Unknown,Unknown,Unknown
55055,cancer and it's fun to think about,cancer,fun
55056,virgo but it doesn't matter,virgo,no importance
55057,cancer and it's fun to think about,cancer,fun
55058,pisces and it's fun to think about,pisces,fun
55059,Unknown,Unknown,Unknown
55060,scorpio but it doesn't matter,scorpio,no importance
55061,aquarius and it's fun to think about,aquarius,fun
55062,scorpio and it's fun to think about,scorpio,fun
55063,aries and it's fun to think about,aries,fun
55064,aquarius and it's fun to think about,aquarius,fun
55065,gemini but it doesn't matter,gemini,no importance
55066,Unknown,Unknown,Unknown
55067,cancer,cancer,no importance
55068,sagittarius,sagittarius,no importance
55069,aries but it doesn't matter,aries,no importance
55070,leo,leo,no importance
55071,gemini but it doesn't matter,gemini,no importance
55072,leo but it doesn't matter,leo,no importance
55073,aquarius but it doesn't matter,aquarius,no importance
55074,Unknown,Unknown,Unknown
55075,virgo,virgo,no importance
55076,aquarius but it doesn't matter,aquarius,no importance
55077,aquarius but it doesn't matter,aquarius,no importance
55078,scorpio and it's fun to think about,scorpio,fun
55079,taurus,taurus,no importance
55080,leo,leo,no importance
55081,Unknown,Unknown,Unknown
55082,pisces and it's fun to think about,pisces,fun
55083,capricorn and it's fun to think about,capricorn,fun
55084,Unknown,Unknown,Unknown
55085,sagittarius,sagittarius,no importance
55086,Unknown,Unknown,Unknown
55087,aquarius and it's fun to think about,aquarius,fun
55088,virgo and it's fun to think about,virgo,fun
55089,taurus but it doesn't matter,taurus,no importance
55090,scorpio and it's fun to think about,scorpio,fun
55091,taurus but it doesn't matter,taurus,no importance
55092,aries but it doesn't matter,aries,no importance
55093,gemini and it's fun to think about,gemini,fun
55094,Unknown,Unknown,Unknown
55095,sagittarius but it doesn't matter,sagittarius,no importance
55096,taurus but it doesn't matter,taurus,no importance
55097,Unknown,Unknown,Unknown
55098,sagittarius but it doesn't matter,sagittarius,no importance
55099,aries,aries,no importance
55100,sagittarius and it's fun to think about,sagittarius,fun
55101,virgo and it's fun to think about,virgo,fun
55102,pisces,pisces,no importance
55103,capricorn but it doesn't matter,capricorn,no importance
55104,scorpio,scorpio,no importance
55105,cancer but it doesn't matter,cancer,no importance
55106,aquarius but it doesn't matter,aquarius,no importance
55107,libra,libra,no importance
55108,libra but it doesn't matter,libra,no importance
55109,gemini but it doesn't matter,gemini,no importance
55110,scorpio,scorpio,no importance
55111,libra but it doesn't matter,libra,no importance
55112,cancer and it's fun to think about,cancer,fun
55113,sagittarius and it's fun to think about,sagittarius,fun
55114,cancer and it's fun to think about,cancer,fun
55115,taurus and it's fun to think about,taurus,fun
55116,taurus and it's fun to think about,taurus,fun
55117,virgo but it doesn't matter,virgo,no importance
55118,taurus,taurus,no importance
55119,virgo and it's fun to think about,virgo,fun
55120,scorpio,scorpio,no importance
55121,pisces,pisces,no importance
55122,pisces but it doesn't matter,pisces,no importance
55123,gemini,gemini,no importance
55124,scorpio,scorpio,no importance
55125,Unknown,Unknown,Unknown
55126,virgo and it's fun to think about,virgo,fun
55127,taurus,taurus,no importance
55128,taurus but it doesn't matter,taurus,no importance
55129,Unknown,Unknown,Unknown
55130,aries and it's fun to think about,aries,fun
55131,scorpio but it doesn't matter,scorpio,no importance
55132,scorpio and it's fun to think about,scorpio,fun
55133,Unknown,Unknown,Unknown
55134,virgo but it doesn't matter,virgo,no importance
55135,taurus but it doesn't matter,taurus,no importance
55136,cancer,cancer,no importance
55137,capricorn,capricorn,no importance
55138,libra,libra,no importance
55139,gemini and it's fun to think about,gemini,fun
55140,leo and it's fun to think about,leo,fun
55141,cancer,cancer,no importance
55142,cancer and it's fun to think about,cancer,fun
55143,libra and it's fun to think about,libra,fun
55144,aquarius but it doesn't matter,aquarius,no importance
55145,virgo and it's fun to think about,virgo,fun
55146,taurus,taurus,no importance
55147,cancer and it's fun to think about,cancer,fun
55148,capricorn and it's fun to think about,capricorn,fun
55149,gemini and it's fun to think about,gemini,fun
55150,gemini and it's fun to think about,gemini,fun
55151,leo,leo,no importance
55152,aquarius and it's fun to think about,aquarius,fun
55153,pisces but it doesn't matter,pisces,no importance
55154,sagittarius and it's fun to think about,sagittarius,fun
55155,virgo but it doesn't matter,virgo,no importance
55156,virgo but it doesn't matter,virgo,no importance
55157,gemini,gemini,no importance
55158,libra but it doesn't matter,libra,no importance
55159,aries,aries,no importance
55160,aries and it's fun to think about,aries,fun
55161,libra and it's fun to think about,libra,fun
55162,taurus and it's fun to think about,taurus,fun
55163,pisces,pisces,no importance
55164,pisces and it's fun to think about,pisces,fun
55165,Unknown,Unknown,Unknown
55166,capricorn but it doesn't matter,capricorn,no importance
55167,leo,leo,no importance
55168,aries but it doesn't matter,aries,no importance
55169,taurus but it doesn't matter,taurus,no importance
55170,aquarius but it doesn't matter,aquarius,no importance
55171,taurus but it doesn't matter,taurus,no importance
55172,Unknown,Unknown,Unknown
55173,scorpio and it's fun to think about,scorpio,fun
55174,libra and it's fun to think about,libra,fun
55175,virgo,virgo,no importance
55176,aquarius but it doesn't matter,aquarius,no importance
55177,gemini and it's fun to think about,gemini,fun
55178,leo and it's fun to think about,leo,fun
55179,gemini,gemini,no importance
55180,leo and it's fun to think about,leo,fun
55181,gemini,gemini,no importance
55182,aries but it doesn't matter,aries,no importance
55183,taurus,taurus,no importance
55184,leo,leo,no importance
55185,libra but it doesn't matter,libra,no importance
55186,Unknown,Unknown,Unknown
55187,pisces but it doesn't matter,pisces,no importance
55188,pisces and it's fun to think about,pisces,fun
55189,Unknown,Unknown,Unknown
55190,Unknown,Unknown,Unknown
55191,leo and it's fun to think about,leo,fun
55192,sagittarius,sagittarius,no importance
55193,taurus and it's fun to think about,taurus,fun
55194,capricorn,capricorn,no importance
55195,Unknown,Unknown,Unknown
55196,cancer and it's fun to think about,cancer,fun
55197,gemini but it doesn't matter,gemini,no importance
55198,cancer and it's fun to think about,cancer,fun
55199,aquarius but it doesn't matter,aquarius,no importance
55200,sagittarius and it's fun to think about,sagittarius,fun
55201,cancer but it doesn't matter,cancer,no importance
55202,capricorn,capricorn,no importance
55203,Unknown,Unknown,Unknown
55204,taurus,taurus,no importance
55205,capricorn but it doesn't matter,capricorn,no importance
55206,virgo,virgo,no importance
55207,aquarius but it doesn't matter,aquarius,no importance
55208,Unknown,Unknown,Unknown
55209,cancer,cancer,no importance
55210,aries,aries,no importance
55211,scorpio and it's fun to think about,scorpio,fun
55212,Unknown,Unknown,Unknown
55213,capricorn but it doesn't matter,capricorn,no importance
55214,scorpio,scorpio,no importance
55215,virgo but it doesn't matter,virgo,no importance
55216,cancer and it's fun to think about,cancer,fun
55217,pisces,pisces,no importance
55218,cancer and it's fun to think about,cancer,fun
55219,libra but it doesn't matter,libra,no importance
55220,scorpio but it doesn't matter,scorpio,no importance
55221,leo but it doesn't matter,leo,no importance
55222,aquarius,aquarius,no importance
55223,sagittarius but it doesn't matter,sagittarius,no importance
55224,gemini but it doesn't matter,gemini,no importance
55225,libra and it's fun to think about,libra,fun
55226,scorpio but it doesn't matter,scorpio,no importance
55227,aquarius and it matters a lot,aquarius,importance
55228,scorpio but it doesn't matter,scorpio,no importance
55229,pisces but it doesn't matter,pisces,no importance
55230,virgo but it doesn't matter,virgo,no importance
55231,Unknown,Unknown,Unknown
55232,virgo and it's fun to think about,virgo,fun
55233,Unknown,Unknown,Unknown
55234,virgo but it doesn't matter,virgo,no importance
55235,sagittarius,sagittarius,no importance
55236,sagittarius but it doesn't matter,sagittarius,no importance
55237,Unknown,Unknown,Unknown
55238,leo but it doesn't matter,leo,no importance
55239,pisces and it's fun to think about,pisces,fun
55240,virgo and it's fun to think about,virgo,fun
55241,gemini and it's fun to think about,gemini,fun
55242,scorpio,scorpio,no importance
55243,Unknown,Unknown,Unknown
55244,sagittarius,sagittarius,no importance
55245,cancer and it's fun to think about,cancer,fun
55246,libra and it's fun to think about,libra,fun
55247,aquarius and it's fun to think about,aquarius,fun
55248,sagittarius and it's fun to think about,sagittarius,fun
55249,scorpio but it doesn't matter,scorpio,no importance
55250,scorpio and it's fun to think about,scorpio,fun
55251,libra,libra,no importance
55252,leo but it doesn't matter,leo,no importance
55253,virgo but it doesn't matter,virgo,no importance
55254,sagittarius and it's fun to think about,sagittarius,fun
55255,aquarius,aquarius,no importance
55256,pisces,pisces,no importance
55257,cancer and it's fun to think about,cancer,fun
55258,pisces and it's fun to think about,pisces,fun
55259,scorpio and it's fun to think about,scorpio,fun
55260,Unknown,Unknown,Unknown
55261,aquarius,aquarius,no importance
55262,aquarius,aquarius,no importance
55263,Unknown,Unknown,Unknown
55264,capricorn,capricorn,no importance
55265,Unknown,Unknown,Unknown
55266,Unknown,Unknown,Unknown
55267,pisces but it doesn't matter,pisces,no importance
55268,scorpio and it's fun to think about,scorpio,fun
55269,sagittarius but it doesn't matter,sagittarius,no importance
55270,aries and it matters a lot,aries,importance
55271,cancer and it's fun to think about,cancer,fun
55272,aquarius and it's fun to think about,aquarius,fun
55273,aries,aries,no importance
55274,sagittarius and it's fun to think about,sagittarius,fun
55275,scorpio but it doesn't matter,scorpio,no importance
55276,aries and it's fun to think about,aries,fun
55277,sagittarius and it's fun to think about,sagittarius,fun
55278,aries but it doesn't matter,aries,no importance
55279,sagittarius and it's fun to think about,sagittarius,fun
55280,aquarius,aquarius,no importance
55281,Unknown,Unknown,Unknown
55282,gemini and it's fun to think about,gemini,fun
55283,aries and it's fun to think about,aries,fun
55284,cancer and it's fun to think about,cancer,fun
55285,leo,leo,no importance
55286,libra and it's fun to think about,libra,fun
55287,capricorn but it doesn't matter,capricorn,no importance
55288,Unknown,Unknown,Unknown
55289,scorpio but it doesn't matter,scorpio,no importance
55290,pisces,pisces,no importance
55291,cancer,cancer,no importance
55292,aries and it's fun to think about,aries,fun
55293,libra and it matters a lot,libra,importance
55294,scorpio and it's fun to think about,scorpio,fun
55295,Unknown,Unknown,Unknown
55296,leo,leo,no importance
55297,aries and it's fun to think about,aries,fun
55298,Unknown,Unknown,Unknown
55299,cancer but it doesn't matter,cancer,no importance
55300,taurus but it doesn't matter,taurus,no importance
55301,aries and it's fun to think about,aries,fun
55302,cancer but it doesn't matter,cancer,no importance
55303,Unknown,Unknown,Unknown
55304,Unknown,Unknown,Unknown
55305,pisces but it doesn't matter,pisces,no importance
55306,sagittarius and it's fun to think about,sagittarius,fun
55307,Unknown,Unknown,Unknown
55308,pisces and it's fun to think about,pisces,fun
55309,virgo,virgo,no importance
55310,cancer but it doesn't matter,cancer,no importance
55311,aries but it doesn't matter,aries,no importance
55312,leo,leo,no importance
55313,Unknown,Unknown,Unknown
55314,capricorn and it's fun to think about,capricorn,fun
55315,Unknown,Unknown,Unknown
55316,gemini but it doesn't matter,gemini,no importance
55317,pisces but it doesn't matter,pisces,no importance
55318,cancer and it's fun to think about,cancer,fun
55319,sagittarius but it doesn't matter,sagittarius,no importance
55320,pisces and it's fun to think about,pisces,fun
55321,taurus but it doesn't matter,taurus,no importance
55322,aries and it's fun to think about,aries,fun
55323,libra and it's fun to think about,libra,fun
55324,gemini but it doesn't matter,gemini,no importance
55325,Unknown,Unknown,Unknown
55326,aquarius and it's fun to think about,aquarius,fun
55327,scorpio,scorpio,no importance
55328,taurus but it doesn't matter,taurus,no importance
55329,libra but it doesn't matter,libra,no importance
55330,leo but it doesn't matter,leo,no importance
55331,Unknown,Unknown,Unknown
55332,virgo and it's fun to think about,virgo,fun
55333,capricorn and it's fun to think about,capricorn,fun
55334,aquarius and it's fun to think about,aquarius,fun
55335,taurus but it doesn't matter,taurus,no importance
55336,cancer but it doesn't matter,cancer,no importance
55337,Unknown,Unknown,Unknown
55338,taurus and it's fun to think about,taurus,fun
55339,sagittarius but it doesn't matter,sagittarius,no importance
55340,pisces but it doesn't matter,pisces,no importance
55341,aquarius but it doesn't matter,aquarius,no importance
55342,aries,aries,no importance
55343,aquarius but it doesn't matter,aquarius,no importance
55344,gemini but it doesn't matter,gemini,no importance
55345,aries,aries,no importance
55346,aquarius but it doesn't matter,aquarius,no importance
55347,gemini but it doesn't matter,gemini,no importance
55348,gemini and it's fun to think about,gemini,fun
55349,sagittarius but it doesn't matter,sagittarius,no importance
55350,aquarius and it's fun to think about,aquarius,fun
55351,cancer and it's fun to think about,cancer,fun
55352,cancer and it's fun to think about,cancer,fun
55353,pisces and it's fun to think about,pisces,fun
55354,aries and it's fun to think about,aries,fun
55355,capricorn,capricorn,no importance
55356,gemini but it doesn't matter,gemini,no importance
55357,gemini but it doesn't matter,gemini,no importance
55358,pisces and it's fun to think about,pisces,fun
55359,scorpio but it doesn't matter,scorpio,no importance
55360,scorpio but it doesn't matter,scorpio,no importance
55361,leo but it doesn't matter,leo,no importance
55362,aries and it's fun to think about,aries,fun
55363,pisces and it's fun to think about,pisces,fun
55364,gemini and it's fun to think about,gemini,fun
55365,libra,libra,no importance
55366,Unknown,Unknown,Unknown
55367,Unknown,Unknown,Unknown
55368,virgo but it doesn't matter,virgo,no importance
55369,libra but it doesn't matter,libra,no importance
55370,aries and it's fun to think about,aries,fun
55371,leo and it's fun to think about,leo,fun
55372,taurus and it's fun to think about,taurus,fun
55373,cancer but it doesn't matter,cancer,no importance
55374,aquarius but it doesn't matter,aquarius,no importance
55375,aquarius but it doesn't matter,aquarius,no importance
55376,aquarius and it's fun to think about,aquarius,fun
55377,pisces but it doesn't matter,pisces,no importance
55378,aquarius and it's fun to think about,aquarius,fun
55379,Unknown,Unknown,Unknown
55380,libra,libra,no importance
55381,aries,aries,no importance
55382,cancer but it doesn't matter,cancer,no importance
55383,Unknown,Unknown,Unknown
55384,pisces and it's fun to think about,pisces,fun
55385,sagittarius and it's fun to think about,sagittarius,fun
55386,gemini and it's fun to think about,gemini,fun
55387,taurus but it doesn't matter,taurus,no importance
55388,taurus but it doesn't matter,taurus,no importance
55389,Unknown,Unknown,Unknown
55390,Unknown,Unknown,Unknown
55391,aquarius and it's fun to think about,aquarius,fun
55392,aquarius and it's fun to think about,aquarius,fun
55393,gemini and it's fun to think about,gemini,fun
55394,aries and it's fun to think about,aries,fun
55395,Unknown,Unknown,Unknown
55396,Unknown,Unknown,Unknown
55397,leo,leo,no importance
55398,gemini,gemini,no importance
55399,libra,libra,no importance
55400,sagittarius but it doesn't matter,sagittarius,no importance
55401,taurus,taurus,no importance
55402,Unknown,Unknown,Unknown
55403,leo but it doesn't matter,leo,no importance
55404,capricorn but it doesn't matter,capricorn,no importance
55405,virgo and it's fun to think about,virgo,fun
55406,pisces and it's fun to think about,pisces,fun
55407,Unknown,Unknown,Unknown
55408,pisces,pisces,no importance
55409,aquarius and it's fun to think about,aquarius,fun
55410,pisces,pisces,no importance
55411,scorpio but it doesn't matter,scorpio,no importance
55412,sagittarius and it's fun to think about,sagittarius,fun
55413,pisces and it's fun to think about,pisces,fun
55414,sagittarius and it's fun to think about,sagittarius,fun
55415,virgo but it doesn't matter,virgo,no importance
55416,scorpio and it's fun to think about,scorpio,fun
55417,sagittarius and it's fun to think about,sagittarius,fun
55418,cancer,cancer,no importance
55419,pisces and it's fun to think about,pisces,fun
55420,cancer and it's fun to think about,cancer,fun
55421,libra but it doesn't matter,libra,no importance
55422,aries and it's fun to think about,aries,fun
55423,sagittarius,sagittarius,no importance
55424,pisces,pisces,no importance
55425,Unknown,Unknown,Unknown
55426,gemini but it doesn't matter,gemini,no importance
55427,Unknown,Unknown,Unknown
55428,sagittarius,sagittarius,no importance
55429,scorpio but it doesn't matter,scorpio,no importance
55430,scorpio,scorpio,no importance
55431,Unknown,Unknown,Unknown
55432,libra and it's fun to think about,libra,fun
55433,Unknown,Unknown,Unknown
55434,scorpio and it's fun to think about,scorpio,fun
55435,cancer and it's fun to think about,cancer,fun
55436,leo but it doesn't matter,leo,no importance
55437,pisces,pisces,no importance
55438,Unknown,Unknown,Unknown
55439,scorpio,scorpio,no importance
55440,libra and it's fun to think about,libra,fun
55441,sagittarius but it doesn't matter,sagittarius,no importance
55442,aries,aries,no importance
55443,virgo and it's fun to think about,virgo,fun
55444,libra and it's fun to think about,libra,fun
55445,aries but it doesn't matter,aries,no importance
55446,sagittarius,sagittarius,no importance
55447,libra,libra,no importance
55448,cancer,cancer,no importance
55449,capricorn and it's fun to think about,capricorn,fun
55450,Unknown,Unknown,Unknown
55451,Unknown,Unknown,Unknown
55452,aquarius and it's fun to think about,aquarius,fun
55453,aries but it doesn't matter,aries,no importance
55454,libra and it's fun to think about,libra,fun
55455,Unknown,Unknown,Unknown
55456,sagittarius and it's fun to think about,sagittarius,fun
55457,taurus and it's fun to think about,taurus,fun
55458,Unknown,Unknown,Unknown
55459,Unknown,Unknown,Unknown
