index,pets,dogs,cats
56841,likes dogs and likes cats,like,like
56842,likes dogs and likes cats,like,like
56843,no importance,no importance,no importance
56844,likes dogs and likes cats,like,like
56845,no importance,no importance,no importance
56846,likes dogs and likes cats,like,like
56847,no importance,no importance,no importance
56848,has dogs and likes cats,own,like
56849,has dogs,own,no importance
56850,no importance,no importance,no importance
56851,likes dogs,like,no importance
56852,likes dogs and has cats,like,own
56853,no importance,no importance,no importance
56854,no importance,no importance,no importance
56855,has dogs,own,no importance
56856,no importance,no importance,no importance
56857,no importance,no importance,no importance
56858,no importance,no importance,no importance
56859,no importance,no importance,no importance
56860,has dogs and likes cats,own,like
56861,likes dogs and likes cats,like,like
56862,likes dogs,like,no importance
56863,likes dogs and likes cats,like,like
56864,likes dogs and likes cats,like,like
56865,no importance,no importance,no importance
56866,has dogs,own,no importance
56867,no importance,no importance,no importance
56868,likes dogs and dislikes cats,like,like
56869,has cats,no importance,own
56870,no importance,no importance,no importance
56871,has cats,no importance,own
56872,has dogs,own,no importance
56873,has dogs and likes cats,own,like
56874,no importance,no importance,no importance
56875,likes dogs,like,no importance
56876,has dogs and dislikes cats,own,like
56877,likes dogs and likes cats,like,like
56878,no importance,no importance,no importance
56879,likes dogs,like,no importance
56880,no importance,no importance,no importance
56881,no importance,no importance,no importance
56882,likes dogs and likes cats,like,like
56883,likes dogs and likes cats,like,like
56884,has dogs,own,no importance
56885,no importance,no importance,no importance
56886,likes dogs and dislikes cats,like,like
56887,has cats,no importance,own
56888,has dogs and likes cats,own,like
56889,likes cats,no importance,like
56890,likes dogs and likes cats,like,like
56891,no importance,no importance,no importance
56892,no importance,no importance,no importance
56893,no importance,no importance,no importance
56894,has dogs and has cats,own,own
56895,has dogs and has cats,own,own
56896,likes dogs,like,no importance
56897,no importance,no importance,no importance
56898,likes dogs and likes cats,like,like
56899,no importance,no importance,no importance
56900,has dogs,own,no importance
56901,has dogs,own,no importance
56902,likes dogs and likes cats,like,like
56903,no importance,no importance,no importance
56904,no importance,no importance,no importance
56905,has dogs and has cats,own,own
56906,has dogs,own,no importance
56907,no importance,no importance,no importance
56908,likes dogs,like,no importance
56909,likes dogs and likes cats,like,like
56910,likes dogs and likes cats,like,like
56911,no importance,no importance,no importance
56912,likes dogs and likes cats,like,like
56913,likes dogs and has cats,like,own
56914,likes dogs and has cats,like,own
56915,likes dogs and likes cats,like,like
56916,no importance,no importance,no importance
56917,has dogs,own,no importance
56918,has dogs,own,no importance
56919,no importance,no importance,no importance
56920,no importance,no importance,no importance
56921,no importance,no importance,no importance
56922,has dogs and dislikes cats,own,like
56923,no importance,no importance,no importance
56924,likes dogs,like,no importance
56925,likes dogs,like,no importance
56926,likes dogs,like,no importance
56927,likes dogs and dislikes cats,like,like
56928,likes dogs and likes cats,like,like
56929,likes dogs,like,no importance
56930,likes dogs and has cats,like,own
56931,likes dogs and likes cats,like,like
56932,likes dogs and likes cats,like,like
56933,no importance,no importance,no importance
56934,likes dogs and likes cats,like,like
56935,no importance,no importance,no importance
56936,likes dogs,like,no importance
56937,no importance,no importance,no importance
56938,likes dogs,like,no importance
56939,has dogs,own,no importance
56940,no importance,no importance,no importance
56941,no importance,no importance,no importance
56942,no importance,no importance,no importance
56943,no importance,no importance,no importance
56944,no importance,no importance,no importance
56945,likes dogs and dislikes cats,like,like
56946,no importance,no importance,no importance
56947,no importance,no importance,no importance
56948,no importance,no importance,no importance
56949,no importance,no importance,no importance
56950,likes dogs and likes cats,like,like
56951,no importance,no importance,no importance
56952,likes dogs and likes cats,like,like
56953,no importance,no importance,no importance
56954,has dogs and dislikes cats,own,like
56955,likes dogs and has cats,like,own
56956,no importance,no importance,no importance
56957,no importance,no importance,no importance
56958,likes dogs and has cats,like,own
56959,likes dogs and likes cats,like,like
56960,likes dogs and likes cats,like,like
56961,likes dogs and dislikes cats,like,like
56962,likes dogs,like,no importance
56963,no importance,no importance,no importance
56964,likes dogs,like,no importance
56965,has dogs,own,no importance
56966,no importance,no importance,no importance
56967,likes dogs and likes cats,like,like
56968,likes dogs and likes cats,like,like
56969,no importance,no importance,no importance
56970,likes dogs and likes cats,like,like
56971,likes dogs,like,no importance
56972,no importance,no importance,no importance
56973,likes dogs and has cats,like,own
56974,has dogs and has cats,own,own
56975,no importance,no importance,no importance
56976,likes dogs,like,no importance
56977,has dogs and likes cats,own,like
56978,likes dogs and likes cats,like,like
56979,likes dogs and likes cats,like,like
56980,likes dogs and likes cats,like,like
56981,likes dogs and likes cats,like,like
56982,no importance,no importance,no importance
56983,no importance,no importance,no importance
56984,likes dogs and likes cats,like,like
56985,has dogs and dislikes cats,own,like
56986,likes dogs and has cats,like,own
56987,no importance,no importance,no importance
56988,likes dogs,like,no importance
56989,likes dogs and likes cats,like,like
56990,no importance,no importance,no importance
56991,likes dogs and has cats,like,own
56992,no importance,no importance,no importance
56993,has dogs and likes cats,own,like
56994,likes dogs,like,no importance
56995,likes dogs and likes cats,like,like
56996,no importance,no importance,no importance
56997,likes dogs,like,no importance
56998,likes dogs,like,no importance
56999,likes cats,no importance,like
57000,likes dogs,like,no importance
57001,no importance,no importance,no importance
57002,likes dogs and likes cats,like,like
57003,likes dogs and likes cats,like,like
57004,has dogs and has cats,own,own
57005,no importance,no importance,no importance
57006,likes dogs and likes cats,like,like
57007,likes dogs,like,no importance
57008,likes dogs,like,no importance
57009,no importance,no importance,no importance
57010,has dogs,own,no importance
57011,likes dogs and likes cats,like,like
57012,likes dogs and likes cats,like,like
57013,likes dogs and has cats,like,own
57014,likes cats,no importance,like
57015,no importance,no importance,no importance
57016,has dogs and dislikes cats,own,like
57017,likes dogs and likes cats,like,like
57018,likes dogs and has cats,like,own
57019,dislikes dogs,like,no importance
57020,has dogs,own,no importance
57021,likes dogs and has cats,like,own
57022,has dogs,own,no importance
57023,likes dogs,like,no importance
57024,likes dogs and likes cats,like,like
57025,likes dogs and likes cats,like,like
57026,no importance,no importance,no importance
57027,has dogs,own,no importance
57028,likes dogs and has cats,like,own
57029,has cats,no importance,own
57030,has cats,no importance,own
57031,no importance,no importance,no importance
57032,has dogs,own,no importance
57033,has cats,no importance,own
57034,no importance,no importance,no importance
57035,likes dogs and dislikes cats,like,like
57036,likes dogs and likes cats,like,like
57037,no importance,no importance,no importance
57038,likes dogs,like,no importance
57039,no importance,no importance,no importance
57040,no importance,no importance,no importance
57041,likes dogs and has cats,like,own
57042,likes dogs and likes cats,like,like
57043,likes dogs and likes cats,like,like
57044,likes dogs and likes cats,like,like
57045,no importance,no importance,no importance
57046,likes dogs and likes cats,like,like
57047,no importance,no importance,no importance
57048,likes cats,no importance,like
57049,likes dogs and likes cats,like,like
57050,likes dogs and likes cats,like,like
57051,has dogs and has cats,own,own
57052,no importance,no importance,no importance
57053,no importance,no importance,no importance
57054,likes dogs and likes cats,like,like
57055,no importance,no importance,no importance
57056,likes dogs and dislikes cats,like,like
57057,no importance,no importance,no importance
57058,likes dogs and has cats,like,own
57059,likes dogs and likes cats,like,like
57060,no importance,no importance,no importance
57061,likes dogs,like,no importance
57062,likes dogs and likes cats,like,like
57063,likes dogs and likes cats,like,like
57064,likes dogs,like,no importance
57065,no importance,no importance,no importance
57066,no importance,no importance,no importance
57067,likes cats,no importance,like
57068,has cats,no importance,own
57069,likes dogs and likes cats,like,like
57070,likes dogs and likes cats,like,like
57071,no importance,no importance,no importance
57072,likes dogs,like,no importance
57073,has dogs and has cats,own,own
57074,no importance,no importance,no importance
57075,no importance,no importance,no importance
57076,has dogs and likes cats,own,like
57077,likes dogs and likes cats,like,like
57078,likes dogs,like,no importance
57079,likes dogs and likes cats,like,like
57080,likes dogs and likes cats,like,like
57081,likes dogs and dislikes cats,like,like
57082,no importance,no importance,no importance
57083,likes dogs,like,no importance
57084,likes dogs and likes cats,like,like
57085,likes dogs and likes cats,like,like
57086,has dogs and likes cats,own,like
57087,likes dogs and likes cats,like,like
57088,likes dogs and has cats,like,own
57089,likes dogs,like,no importance
57090,likes dogs,like,no importance
57091,likes cats,no importance,like
57092,likes dogs,like,no importance
57093,likes dogs and likes cats,like,like
57094,dislikes dogs and likes cats,like,like
57095,likes dogs and has cats,like,own
57096,likes dogs and dislikes cats,like,like
57097,no importance,no importance,no importance
57098,likes dogs,like,no importance
57099,no importance,no importance,no importance
57100,no importance,no importance,no importance
57101,no importance,no importance,no importance
57102,likes dogs and has cats,like,own
57103,likes dogs,like,no importance
57104,no importance,no importance,no importance
57105,no importance,no importance,no importance
57106,no importance,no importance,no importance
57107,likes dogs,like,no importance
57108,likes dogs and likes cats,like,like
57109,likes dogs and has cats,like,own
57110,no importance,no importance,no importance
57111,no importance,no importance,no importance
57112,has dogs and has cats,own,own
57113,has dogs and has cats,own,own
57114,likes dogs and likes cats,like,like
57115,likes dogs and likes cats,like,like
57116,likes dogs,like,no importance
57117,has dogs,own,no importance
57118,likes dogs,like,no importance
57119,likes dogs and likes cats,like,like
57120,likes dogs and likes cats,like,like
57121,has dogs and likes cats,own,like
57122,likes dogs and likes cats,like,like
57123,no importance,no importance,no importance
57124,likes dogs and has cats,like,own
57125,likes dogs and likes cats,like,like
57126,no importance,no importance,no importance
57127,no importance,no importance,no importance
57128,no importance,no importance,no importance
57129,no importance,no importance,no importance
57130,likes dogs and likes cats,like,like
57131,likes dogs,like,no importance
57132,no importance,no importance,no importance
57133,no importance,no importance,no importance
57134,no importance,no importance,no importance
57135,likes dogs and likes cats,like,like
57136,likes dogs and likes cats,like,like
57137,no importance,no importance,no importance
57138,likes cats,no importance,like
57139,likes dogs and likes cats,like,like
57140,likes dogs and likes cats,like,like
57141,has dogs and likes cats,own,like
57142,no importance,no importance,no importance
57143,no importance,no importance,no importance
57144,likes cats,no importance,like
57145,likes dogs,like,no importance
57146,likes dogs,like,no importance
57147,likes dogs and likes cats,like,like
57148,likes dogs and likes cats,like,like
57149,no importance,no importance,no importance
57150,likes dogs and likes cats,like,like
57151,no importance,no importance,no importance
57152,likes dogs and likes cats,like,like
57153,has dogs,own,no importance
57154,no importance,no importance,no importance
57155,no importance,no importance,no importance
57156,likes dogs,like,no importance
57157,likes dogs and likes cats,like,like
57158,likes dogs and likes cats,like,like
57159,no importance,no importance,no importance
57160,likes dogs and likes cats,like,like
57161,likes dogs and likes cats,like,like
57162,no importance,no importance,no importance
57163,no importance,no importance,no importance
57164,likes dogs and likes cats,like,like
57165,likes dogs and has cats,like,own
57166,likes dogs and likes cats,like,like
57167,likes cats,no importance,like
57168,no importance,no importance,no importance
57169,likes dogs,like,no importance
57170,likes dogs and likes cats,like,like
57171,has dogs,own,no importance
57172,likes dogs,like,no importance
57173,has dogs,own,no importance
57174,likes dogs and likes cats,like,like
57175,no importance,no importance,no importance
57176,no importance,no importance,no importance
57177,no importance,no importance,no importance
57178,likes dogs and likes cats,like,like
57179,has dogs,own,no importance
57180,has dogs,own,no importance
57181,likes cats,no importance,like
57182,no importance,no importance,no importance
57183,no importance,no importance,no importance
57184,likes dogs,like,no importance
57185,likes dogs and has cats,like,own
57186,no importance,no importance,no importance
57187,has dogs and likes cats,own,like
57188,likes dogs,like,no importance
57189,likes dogs and likes cats,like,like
57190,has dogs,own,no importance
57191,likes dogs and has cats,like,own
57192,likes dogs and likes cats,like,like
57193,likes dogs and likes cats,like,like
57194,likes dogs and likes cats,like,like
57195,dislikes cats,no importance,like
57196,likes dogs and has cats,like,own
57197,has cats,no importance,own
57198,has dogs and has cats,own,own
57199,likes dogs and likes cats,like,like
57200,likes dogs and has cats,like,own
57201,likes dogs and likes cats,like,like
57202,no importance,no importance,no importance
57203,has dogs,own,no importance
57204,no importance,no importance,no importance
57205,no importance,no importance,no importance
57206,likes dogs and likes cats,like,like
57207,likes dogs and has cats,like,own
57208,likes dogs and likes cats,like,like
57209,dislikes dogs and dislikes cats,like,like
57210,no importance,no importance,no importance
57211,likes dogs and likes cats,like,like
57212,likes dogs and likes cats,like,like
57213,likes dogs and likes cats,like,like
57214,likes dogs and has cats,like,own
57215,likes cats,no importance,like
57216,likes dogs,like,no importance
57217,likes dogs and likes cats,like,like
57218,likes dogs and likes cats,like,like
57219,no importance,no importance,no importance
57220,likes dogs and likes cats,like,like
57221,no importance,no importance,no importance
57222,no importance,no importance,no importance
57223,no importance,no importance,no importance
57224,has dogs and likes cats,own,like
57225,likes dogs and has cats,like,own
57226,no importance,no importance,no importance
57227,has dogs,own,no importance
57228,no importance,no importance,no importance
57229,likes dogs and likes cats,like,like
57230,likes dogs and likes cats,like,like
57231,likes dogs and likes cats,like,like
57232,likes dogs and likes cats,like,like
57233,likes dogs and has cats,like,own
57234,has dogs,own,no importance
57235,likes dogs and likes cats,like,like
57236,has dogs,own,no importance
57237,likes dogs and likes cats,like,like
57238,has dogs,own,no importance
57239,has dogs,own,no importance
57240,no importance,no importance,no importance
57241,no importance,no importance,no importance
57242,likes cats,no importance,like
57243,no importance,no importance,no importance
57244,likes dogs,like,no importance
57245,likes dogs and likes cats,like,like
57246,likes dogs,like,no importance
57247,no importance,no importance,no importance
57248,no importance,no importance,no importance
57249,no importance,no importance,no importance
57250,no importance,no importance,no importance
57251,likes dogs and likes cats,like,like
57252,has dogs,own,no importance
57253,no importance,no importance,no importance
57254,no importance,no importance,no importance
57255,has dogs,own,no importance
57256,has dogs,own,no importance
57257,no importance,no importance,no importance
57258,likes dogs and likes cats,like,like
57259,likes dogs and dislikes cats,like,like
57260,likes dogs,like,no importance
57261,likes dogs and has cats,like,own
57262,has dogs,own,no importance
57263,likes dogs and likes cats,like,like
57264,no importance,no importance,no importance
57265,likes dogs,like,no importance
57266,likes dogs and has cats,like,own
57267,no importance,no importance,no importance
57268,no importance,no importance,no importance
57269,likes dogs and has cats,like,own
57270,has dogs,own,no importance
57271,no importance,no importance,no importance
57272,likes dogs and likes cats,like,like
57273,likes dogs and likes cats,like,like
57274,likes dogs,like,no importance
57275,likes dogs,like,no importance
57276,has dogs and likes cats,own,like
57277,likes dogs and has cats,like,own
57278,has dogs and likes cats,own,like
57279,has cats,no importance,own
57280,has dogs,own,no importance
57281,has dogs,own,no importance
57282,has cats,no importance,own
57283,no importance,no importance,no importance
57284,likes dogs and likes cats,like,like
57285,likes dogs and likes cats,like,like
57286,has dogs and has cats,own,own
57287,likes dogs and likes cats,like,like
57288,no importance,no importance,no importance
57289,has dogs,own,no importance
57290,likes dogs and likes cats,like,like
57291,likes dogs and dislikes cats,like,like
57292,no importance,no importance,no importance
57293,no importance,no importance,no importance
57294,no importance,no importance,no importance
57295,likes cats,no importance,like
57296,no importance,no importance,no importance
57297,dislikes dogs and likes cats,like,like
57298,likes dogs,like,no importance
57299,likes dogs and has cats,like,own
57300,no importance,no importance,no importance
57301,no importance,no importance,no importance
57302,likes dogs and likes cats,like,like
57303,no importance,no importance,no importance
57304,likes dogs and likes cats,like,like
57305,likes dogs and dislikes cats,like,like
57306,no importance,no importance,no importance
57307,no importance,no importance,no importance
57308,has dogs,own,no importance
57309,no importance,no importance,no importance
57310,no importance,no importance,no importance
57311,likes dogs,like,no importance
57312,likes dogs and likes cats,like,like
57313,likes dogs,like,no importance
57314,no importance,no importance,no importance
57315,likes dogs,like,no importance
57316,likes dogs and likes cats,like,like
57317,likes dogs and dislikes cats,like,like
57318,likes dogs and likes cats,like,like
57319,no importance,no importance,no importance
57320,likes dogs and likes cats,like,like
57321,has dogs,own,no importance
57322,likes dogs and has cats,like,own
57323,has dogs,own,no importance
57324,no importance,no importance,no importance
57325,no importance,no importance,no importance
57326,has dogs and likes cats,own,like
57327,no importance,no importance,no importance
57328,likes dogs and has cats,like,own
57329,no importance,no importance,no importance
57330,likes dogs and has cats,like,own
57331,no importance,no importance,no importance
57332,likes dogs and likes cats,like,like
57333,likes dogs,like,no importance
57334,likes dogs and has cats,like,own
57335,has dogs,own,no importance
57336,has dogs,own,no importance
57337,has cats,no importance,own
57338,likes dogs and likes cats,like,like
57339,has cats,no importance,own
57340,likes dogs and has cats,like,own
57341,no importance,no importance,no importance
57342,likes dogs and likes cats,like,like
57343,no importance,no importance,no importance
57344,likes dogs and likes cats,like,like
57345,likes dogs and likes cats,like,like
57346,likes dogs and likes cats,like,like
57347,no importance,no importance,no importance
57348,has dogs,own,no importance
57349,no importance,no importance,no importance
57350,likes dogs and likes cats,like,like
57351,likes dogs and likes cats,like,like
57352,likes cats,no importance,like
57353,no importance,no importance,no importance
57354,likes dogs,like,no importance
57355,no importance,no importance,no importance
57356,has dogs,own,no importance
57357,has cats,no importance,own
57358,likes dogs and likes cats,like,like
57359,no importance,no importance,no importance
57360,has dogs and likes cats,own,like
57361,likes dogs and has cats,like,own
57362,no importance,no importance,no importance
57363,no importance,no importance,no importance
57364,likes dogs and dislikes cats,like,like
57365,no importance,no importance,no importance
57366,no importance,no importance,no importance
57367,likes dogs and likes cats,like,like
57368,likes dogs and has cats,like,own
57369,no importance,no importance,no importance
57370,no importance,no importance,no importance
57371,has dogs and likes cats,own,like
57372,has cats,no importance,own
57373,likes dogs and has cats,like,own
57374,likes dogs and has cats,like,own
57375,no importance,no importance,no importance
57376,likes dogs,like,no importance
57377,has dogs,own,no importance
57378,has dogs and dislikes cats,own,like
57379,has dogs and dislikes cats,own,like
57380,no importance,no importance,no importance
57381,likes dogs,like,no importance
57382,no importance,no importance,no importance
57383,likes dogs and has cats,like,own
57384,likes dogs,like,no importance
57385,no importance,no importance,no importance
57386,likes dogs and likes cats,like,like
57387,likes dogs,like,no importance
57388,likes dogs,like,no importance
57389,likes dogs and likes cats,like,like
57390,no importance,no importance,no importance
57391,no importance,no importance,no importance
57392,likes dogs and dislikes cats,like,like
57393,has dogs,own,no importance
57394,likes dogs,like,no importance
57395,has dogs and has cats,own,own
57396,has dogs,own,no importance
57397,no importance,no importance,no importance
57398,likes dogs and has cats,like,own
57399,dislikes dogs and dislikes cats,like,like
57400,likes dogs and likes cats,like,like
57401,likes dogs and has cats,like,own
57402,dislikes dogs and likes cats,like,like
57403,likes cats,no importance,like
57404,no importance,no importance,no importance
57405,likes dogs and likes cats,like,like
57406,no importance,no importance,no importance
57407,no importance,no importance,no importance
57408,no importance,no importance,no importance
57409,no importance,no importance,no importance
57410,likes dogs and has cats,like,own
57411,likes dogs,like,no importance
57412,likes dogs and likes cats,like,like
57413,no importance,no importance,no importance
57414,has dogs and likes cats,own,like
57415,has dogs,own,no importance
57416,likes dogs,like,no importance
57417,likes dogs and likes cats,like,like
57418,no importance,no importance,no importance
57419,likes dogs,like,no importance
57420,likes dogs,like,no importance
57421,likes dogs and likes cats,like,like
57422,likes dogs,like,no importance
57423,no importance,no importance,no importance
57424,has dogs and has cats,own,own
57425,likes dogs and likes cats,like,like
57426,likes dogs and dislikes cats,like,like
57427,no importance,no importance,no importance
57428,likes dogs and has cats,like,own
57429,no importance,no importance,no importance
57430,likes dogs and has cats,like,own
57431,has dogs and has cats,own,own
57432,likes dogs and has cats,like,own
57433,no importance,no importance,no importance
57434,has cats,no importance,own
57435,likes dogs and likes cats,like,like
57436,no importance,no importance,no importance
57437,no importance,no importance,no importance
57438,no importance,no importance,no importance
57439,no importance,no importance,no importance
57440,likes dogs and likes cats,like,like
57441,no importance,no importance,no importance
57442,has dogs and likes cats,own,like
57443,no importance,no importance,no importance
57444,likes dogs,like,no importance
57445,has cats,no importance,own
57446,no importance,no importance,no importance
57447,likes dogs and dislikes cats,like,like
57448,likes dogs and likes cats,like,like
57449,no importance,no importance,no importance
57450,likes dogs and likes cats,like,like
57451,no importance,no importance,no importance
57452,no importance,no importance,no importance
57453,likes dogs and has cats,like,own
57454,no importance,no importance,no importance
57455,no importance,no importance,no importance
57456,no importance,no importance,no importance
57457,likes dogs and dislikes cats,like,like
57458,no importance,no importance,no importance
57459,likes dogs,like,no importance
57460,has dogs,own,no importance
57461,no importance,no importance,no importance
57462,likes dogs and likes cats,like,like
57463,has dogs,own,no importance
57464,likes dogs and likes cats,like,like
57465,no importance,no importance,no importance
57466,has dogs,own,no importance
57467,no importance,no importance,no importance
57468,no importance,no importance,no importance
57469,no importance,no importance,no importance
57470,likes dogs,like,no importance
57471,likes dogs,like,no importance
57472,no importance,no importance,no importance
57473,no importance,no importance,no importance
57474,likes dogs,like,no importance
57475,likes dogs,like,no importance
57476,has dogs and has cats,own,own
57477,likes dogs and has cats,like,own
57478,no importance,no importance,no importance
57479,likes dogs,like,no importance
57480,no importance,no importance,no importance
57481,has dogs and likes cats,own,like
57482,no importance,no importance,no importance
57483,likes dogs,like,no importance
57484,likes dogs and likes cats,like,like
57485,likes dogs,like,no importance
57486,likes dogs,like,no importance
57487,has dogs,own,no importance
57488,no importance,no importance,no importance
57489,no importance,no importance,no importance
57490,has dogs and likes cats,own,like
57491,likes dogs and likes cats,like,like
57492,likes dogs,like,no importance
57493,has cats,no importance,own
57494,no importance,no importance,no importance
57495,likes dogs and likes cats,like,like
57496,likes dogs and likes cats,like,like
57497,has cats,no importance,own
57498,likes dogs and has cats,like,own
57499,likes dogs,like,no importance
57500,likes dogs,like,no importance
57501,no importance,no importance,no importance
57502,has dogs and likes cats,own,like
57503,likes dogs and likes cats,like,like
57504,likes dogs and likes cats,like,like
57505,likes dogs and likes cats,like,like
57506,likes dogs and likes cats,like,like
57507,no importance,no importance,no importance
57508,no importance,no importance,no importance
57509,no importance,no importance,no importance
57510,no importance,no importance,no importance
57511,likes dogs,like,no importance
57512,has dogs and dislikes cats,own,like
57513,no importance,no importance,no importance
57514,no importance,no importance,no importance
57515,has dogs,own,no importance
57516,has dogs,own,no importance
57517,no importance,no importance,no importance
57518,has dogs and likes cats,own,like
57519,likes dogs and likes cats,like,like
57520,has dogs,own,no importance
57521,likes dogs and has cats,like,own
57522,no importance,no importance,no importance
57523,has cats,no importance,own
57524,no importance,no importance,no importance
57525,likes dogs and likes cats,like,like
57526,has dogs,own,no importance
57527,no importance,no importance,no importance
57528,likes dogs and likes cats,like,like
57529,likes dogs and likes cats,like,like
57530,no importance,no importance,no importance
57531,no importance,no importance,no importance
57532,likes dogs and dislikes cats,like,like
57533,likes dogs,like,no importance
57534,has dogs and dislikes cats,own,like
57535,has dogs and has cats,own,own
57536,no importance,no importance,no importance
57537,likes dogs and likes cats,like,like
57538,has dogs,own,no importance
57539,no importance,no importance,no importance
57540,no importance,no importance,no importance
57541,no importance,no importance,no importance
57542,likes dogs and likes cats,like,like
57543,likes dogs and likes cats,like,like
57544,no importance,no importance,no importance
57545,likes dogs and has cats,like,own
57546,likes dogs,like,no importance
57547,likes dogs and likes cats,like,like
57548,has cats,no importance,own
57549,likes dogs and likes cats,like,like
57550,no importance,no importance,no importance
57551,likes dogs and has cats,like,own
57552,no importance,no importance,no importance
57553,likes cats,no importance,like
57554,likes dogs,like,no importance
57555,no importance,no importance,no importance
57556,no importance,no importance,no importance
57557,has dogs,own,no importance
57558,no importance,no importance,no importance
57559,no importance,no importance,no importance
57560,no importance,no importance,no importance
57561,has dogs,own,no importance
57562,likes dogs,like,no importance
57563,has dogs and has cats,own,own
57564,no importance,no importance,no importance
57565,likes dogs,like,no importance
57566,no importance,no importance,no importance
57567,no importance,no importance,no importance
57568,no importance,no importance,no importance
57569,no importance,no importance,no importance
57570,likes dogs and dislikes cats,like,like
57571,likes dogs and has cats,like,own
57572,likes dogs and likes cats,like,like
57573,likes dogs and likes cats,like,like
57574,likes dogs,like,no importance
57575,likes dogs and likes cats,like,like
57576,has cats,no importance,own
57577,no importance,no importance,no importance
57578,has dogs and dislikes cats,own,like
57579,has dogs and likes cats,own,like
57580,has dogs and has cats,own,own
57581,likes dogs and likes cats,like,like
57582,likes dogs and likes cats,like,like
57583,no importance,no importance,no importance
57584,likes dogs,like,no importance
57585,likes dogs and has cats,like,own
57586,has dogs and dislikes cats,own,like
57587,has dogs,own,no importance
57588,has dogs and dislikes cats,own,like
57589,no importance,no importance,no importance
57590,likes dogs and has cats,like,own
57591,has cats,no importance,own
57592,likes dogs and dislikes cats,like,like
57593,no importance,no importance,no importance
57594,likes dogs and likes cats,like,like
57595,no importance,no importance,no importance
57596,has dogs and has cats,own,own
57597,likes dogs and likes cats,like,like
57598,likes dogs and dislikes cats,like,like
57599,likes dogs and dislikes cats,like,like
57600,likes dogs,like,no importance
57601,likes dogs,like,no importance
57602,no importance,no importance,no importance
57603,likes dogs,like,no importance
57604,has dogs and likes cats,own,like
57605,no importance,no importance,no importance
57606,likes dogs and likes cats,like,like
57607,no importance,no importance,no importance
57608,no importance,no importance,no importance
57609,likes dogs and has cats,like,own
57610,no importance,no importance,no importance
57611,likes dogs and likes cats,like,like
57612,likes dogs and likes cats,like,like
57613,likes dogs and dislikes cats,like,like
57614,likes dogs and likes cats,like,like
57615,likes dogs and likes cats,like,like
57616,likes dogs and likes cats,like,like
57617,has dogs and likes cats,own,like
57618,has dogs,own,no importance
57619,likes dogs and likes cats,like,like
57620,likes dogs and likes cats,like,like
57621,has cats,no importance,own
57622,likes dogs and likes cats,like,like
57623,likes dogs,like,no importance
57624,likes dogs and likes cats,like,like
57625,no importance,no importance,no importance
57626,likes dogs and likes cats,like,like
57627,likes dogs,like,no importance
57628,no importance,no importance,no importance
57629,has dogs and likes cats,own,like
57630,no importance,no importance,no importance
57631,likes dogs and likes cats,like,like
57632,likes dogs and likes cats,like,like
57633,likes dogs and has cats,like,own
57634,likes dogs and has cats,like,own
57635,no importance,no importance,no importance
57636,no importance,no importance,no importance
57637,no importance,no importance,no importance
57638,has dogs and has cats,own,own
57639,no importance,no importance,no importance
57640,no importance,no importance,no importance
57641,likes dogs and dislikes cats,like,like
57642,likes dogs,like,no importance
57643,no importance,no importance,no importance
57644,no importance,no importance,no importance
57645,likes dogs,like,no importance
57646,no importance,no importance,no importance
57647,no importance,no importance,no importance
57648,no importance,no importance,no importance
57649,likes dogs and likes cats,like,like
57650,no importance,no importance,no importance
57651,has dogs and has cats,own,own
57652,has dogs and likes cats,own,like
57653,has dogs,own,no importance
57654,likes dogs and has cats,like,own
57655,likes dogs,like,no importance
57656,no importance,no importance,no importance
57657,likes dogs,like,no importance
57658,likes dogs,like,no importance
57659,likes dogs and likes cats,like,like
57660,has dogs,own,no importance
57661,has dogs,own,no importance
57662,likes dogs and likes cats,like,like
57663,likes dogs and has cats,like,own
57664,dislikes cats,no importance,like
57665,has cats,no importance,own
57666,likes dogs and likes cats,like,like
57667,likes dogs and dislikes cats,like,like
57668,likes dogs,like,no importance
57669,likes dogs,like,no importance
57670,likes dogs,like,no importance
57671,no importance,no importance,no importance
57672,has dogs,own,no importance
57673,likes dogs,like,no importance
57674,likes dogs and has cats,like,own
57675,likes dogs and dislikes cats,like,like
57676,has dogs,own,no importance
57677,no importance,no importance,no importance
57678,likes dogs and likes cats,like,like
57679,has dogs and likes cats,own,like
57680,no importance,no importance,no importance
57681,likes dogs and has cats,like,own
57682,no importance,no importance,no importance
57683,no importance,no importance,no importance
57684,no importance,no importance,no importance
57685,has dogs and likes cats,own,like
57686,no importance,no importance,no importance
57687,likes dogs and has cats,like,own
57688,no importance,no importance,no importance
57689,likes dogs and dislikes cats,like,like
57690,likes dogs and likes cats,like,like
57691,has cats,no importance,own
57692,likes dogs and has cats,like,own
57693,has dogs and likes cats,own,like
57694,likes dogs and has cats,like,own
57695,likes dogs,like,no importance
57696,no importance,no importance,no importance
57697,has dogs,own,no importance
57698,likes dogs and likes cats,like,like
57699,likes dogs and has cats,like,own
57700,no importance,no importance,no importance
57701,no importance,no importance,no importance
57702,no importance,no importance,no importance
57703,no importance,no importance,no importance
57704,no importance,no importance,no importance
57705,no importance,no importance,no importance
57706,likes dogs and likes cats,like,like
57707,likes dogs and likes cats,like,like
57708,likes dogs,like,no importance
57709,no importance,no importance,no importance
57710,likes dogs and likes cats,like,like
57711,likes dogs,like,no importance
57712,has dogs and has cats,own,own
