index,speaks,fluent,good
40874,english (fluently),english,
40875,english (fluently),english,
40876,english (fluently),english,
40877,"english (fluently), spanish",english,spanish
40878,"english (fluently), spanish (okay)",english,spanish
40879,english (fluently),english,
40880,english (fluently),english,
40881,english (okay),english,english
40882,english (fluently),english,
40883,english (fluently),english,
40884,english (fluently),english,
40885,english (fluently),english,
40886,english (fluently),english,
40887,english (fluently),english,
40888,english (fluently),english,
40889,english (fluently),english,
40890,"english (fluently), spanish (fluently), french (okay)","english, spanish",french
40891,english (fluently),english,
40892,english (fluently),english,
40893,english (fluently),english,
40894,english (fluently),english,
40895,english (fluently),english,
40896,english (fluently),english,
40897,english (fluently),english,
40898,english (fluently),english,
40899,"english (fluently), spanish (okay)",english,spanish
40900,english (fluently),english,
40901,english (fluently),english,
40902,"english (fluently), spanish",english,spanish
40903,english (fluently),english,
40904,english (fluently),english,
40905,"english (fluently), french (okay)",english,french
40906,english (fluently),english,
40907,english (fluently),english,
40908,english (fluently),english,
40909,english (fluently),english,
40910,english (fluently),english,
40911,"english (fluently), spanish (fluently), chinese (okay)","english, spanish",chinese
40912,english (fluently),english,
40913,english (fluently),english,
40914,"english (fluently), italian (okay), spanish (okay)",english,"italian, spanish"
40915,english (fluently),english,
40916,english (fluently),english,
40917,english (fluently),english,
40918,english (fluently),english,
40919,"english (fluently), spanish",english,spanish
40920,"english (fluently), french (fluently)","english, french",
40921,"english (fluently), spanish (okay), urdu (fluently)","english, urdu",spanish
40922,"english (fluently), c++ (fluently)","english, c++",
40923,"english (fluently), spanish (fluently)","english, spanish",
40924,english (fluently),english,
40925,"english (fluently), italian (fluently), japanese (okay)","english, italian",japanese
40926,"english (fluently), spanish (okay)",english,spanish
40927,english (fluently),english,
40928,english (fluently),english,
40929,"english (fluently), chinese, french, german",english,"chinese, french, german"
40930,english (fluently),english,
40931,"english (fluently), spanish, portuguese, italian",english,"spanish, portuguese, italian"
40932,english (fluently),english,
40933,english (fluently),english,
40934,english (fluently),english,
40935,"english (fluently), spanish (fluently), chinese (okay)","english, spanish",chinese
40936,english (fluently),english,
40937,english (fluently),english,
40938,english (fluently),english,
40939,english (fluently),english,
40940,english (fluently),english,
40941,english (okay),english,english
40942,english (fluently),english,
40943,"english (fluently), tagalog (fluently)","english, tagalog",
40944,english (fluently),english,
40945,"english (fluently), portuguese, spanish (okay)",english,"portuguese, spanish"
40946,english (fluently),english,
40947,"english (fluently), spanish (okay)",english,spanish
40948,english (fluently),english,
40949,english (fluently),english,
40950,english (okay),english,english
40951,english (fluently),english,
40952,english (fluently),english,
40953,"english (fluently), spanish (okay)",english,spanish
40954,english (fluently),english,
40955,english (fluently),english,
40956,english (fluently),english,
40957,"english (fluently), french (okay)",english,french
40958,english (fluently),english,
40959,english (fluently),english,
40960,"english (fluently), spanish (fluently)","english, spanish",
40961,"english (fluently), spanish (okay)",english,spanish
40962,english (fluently),english,
40963,english (fluently),english,
40964,english (okay),english,english
40965,english (fluently),english,
40966,english (fluently),english,
40967,english (fluently),english,
40968,"english (fluently), spanish (fluently)","english, spanish",
40969,english (fluently),english,
40970,english (fluently),english,
40971,english (fluently),english,
40972,"english (fluently), spanish",english,spanish
40973,,english,
40974,english (fluently),english,
40975,"english (fluently), spanish",english,spanish
40976,"english (fluently), spanish (okay)",english,spanish
40977,english (fluently),english,
40978,"english (fluently), spanish",english,spanish
40979,english (fluently),english,
40980,english (fluently),english,
40981,"english (fluently), italian (fluently), chinese (okay)","english, italian",chinese
40982,english (fluently),english,
40983,english (fluently),english,
40984,english (fluently),english,
40985,english (fluently),english,
40986,"english (fluently), portuguese (okay), spanish (okay)",english,"portuguese, spanish"
40987,"english (fluently), spanish",english,spanish
40988,english (fluently),english,
40989,"english (fluently), c++ (fluently), french (okay), hindi (okay)","english, c++","french, hindi"
40990,english (fluently),english,
40991,english (fluently),english,
40992,"english (fluently), spanish (fluently), portuguese (okay)","english, spanish",portuguese
40993,"english (fluently), chinese",english,chinese
40994,english (fluently),english,
40995,"english (fluently), chinese (okay)",english,chinese
40996,english (fluently),english,
40997,"english (fluently), spanish",english,spanish
40998,english (fluently),english,
40999,english (fluently),english,
41000,english (fluently),english,
41001,"english (fluently), spanish (okay)",english,spanish
41002,,english,
41003,english (fluently),english,
41004,"english (fluently), spanish (okay)",english,spanish
41005,"english (fluently), chinese (fluently), spanish (okay)","english, chinese",spanish
41006,"english (fluently), russian (okay)",english,russian
41007,english (fluently),english,
41008,english (fluently),english,
41009,english (fluently),english,
41010,english (fluently),english,
41011,"english (fluently), chinese (okay)",english,chinese
41012,"english (fluently), spanish (fluently)","english, spanish",
41013,"english (fluently), spanish (okay)",english,spanish
41014,"english (fluently), spanish (okay), japanese (okay), korean (okay)",english,"spanish, japanese, korean"
41015,english (fluently),english,
41016,english (fluently),english,
41017,english (fluently),english,
41018,english (fluently),english,
41019,"english (fluently), spanish (fluently)","english, spanish",
41020,"english (fluently), spanish (okay)",english,spanish
41021,"english (okay), spanish (fluently)",spanish,english
41022,english (fluently),english,
41023,"english (fluently), spanish (okay), portuguese (okay)",english,"spanish, portuguese"
41024,english (fluently),english,
41025,english (fluently),english,
41026,english (fluently),english,
41027,"english (fluently), spanish (okay)",english,spanish
41028,english (fluently),english,
41029,english (fluently),english,
41030,"english (fluently), romanian (fluently)","english, romanian",
41031,english (fluently),english,
41032,english (fluently),english,
41033,"english (fluently), french (fluently), spanish (okay)","english, french",spanish
41034,english (fluently),english,
41035,"english (fluently), french (okay)",english,french
41036,english (fluently),english,
41037,english (fluently),english,
41038,"english (fluently), french (fluently), spanish (okay)","english, french",spanish
41039,"english (fluently), greek (okay)",english,greek
41040,"english (fluently), chinese (fluently)","english, chinese",
41041,"english (fluently), french (okay)",english,french
41042,"english (fluently), spanish (okay)",english,spanish
41043,english (fluently),english,
41044,english (fluently),english,
41045,english (fluently),english,
41046,english (fluently),english,
41047,"english (fluently), spanish (fluently)","english, spanish",
41048,english (fluently),english,
41049,"english (fluently), french (fluently)","english, french",
41050,english (fluently),english,
41051,english (fluently),english,
41052,english (fluently),english,
41053,english (fluently),english,
41054,english (fluently),english,
41055,"english (fluently), spanish (fluently)","english, spanish",
41056,english (fluently),english,
41057,english (fluently),english,
41058,"english (fluently), chinese (fluently)","english, chinese",
41059,english (fluently),english,
41060,english (fluently),english,
41061,english (fluently),english,
41062,english (fluently),english,
41063,"english (fluently), spanish (okay)",english,spanish
41064,"english (okay), german (okay)",english,"english, german"
41065,english (fluently),english,
41066,english (fluently),english,
41067,english (fluently),english,
41068,"english (fluently), russian (fluently)","english, russian",
41069,english (fluently),english,
41070,english (fluently),english,
41071,"english (fluently), spanish (fluently)","english, spanish",
41072,"english (fluently), english (fluently)",english,
41073,"english (fluently), french (okay), spanish (okay)",english,"french, spanish"
41074,"english (fluently), tagalog (fluently), spanish (fluently)","english, tagalog, spanish",
41075,english (fluently),english,
41076,english (fluently),english,
41077,english (fluently),english,
41078,english (fluently),english,
41079,"english (okay), tagalog (fluently)",tagalog,english
41080,english (fluently),english,
41081,"english (fluently), chinese (okay)",english,chinese
41082,english (fluently),english,
41083,english (fluently),english,
41084,"english (fluently), french (okay)",english,french
41085,"english (fluently), spanish (okay)",english,spanish
41086,"english (fluently), russian",english,russian
41087,english (fluently),english,
41088,english (fluently),english,
41089,"english (fluently), finnish (okay), french (okay)",english,"finnish, french"
41090,english (fluently),english,
41091,english (fluently),english,
41092,english (fluently),english,
41093,english (fluently),english,
41094,english (fluently),english,
41095,english (fluently),english,
41096,english (fluently),english,
41097,english (fluently),english,
41098,english (okay),english,english
41099,"english (fluently), spanish (okay)",english,spanish
41100,"english (fluently), german (okay)",english,german
41101,english (fluently),english,
41102,english (fluently),english,
41103,english (okay),english,english
41104,english (fluently),english,
41105,english (fluently),english,
41106,english (fluently),english,
41107,"english (fluently), french (okay), other (okay)",english,french
41108,english (fluently),english,
41109,english (fluently),english,
41110,"english (fluently), latin (okay)",english,latin
41111,english (fluently),english,
41112,"english (fluently), tagalog",english,tagalog
41113,english (fluently),english,
41114,english (fluently),english,
41115,"english (fluently), french, spanish",english,"french, spanish"
41116,english (fluently),english,
41117,"english (fluently), spanish (okay)",english,spanish
41118,english (fluently),english,
41119,english (fluently),english,
41120,"english (fluently), hindi (fluently), other (fluently)","english, hindi",
41121,"english (fluently), spanish (okay)",english,spanish
41122,english (fluently),english,
41123,"english (fluently), spanish (okay)",english,spanish
41124,"english (fluently), c++ (okay)",english,c++
41125,"english (fluently), german (okay), c++ (okay)",english,"german, c++"
41126,english (fluently),english,
41127,english (fluently),english,
41128,english (fluently),english,
41129,english (fluently),english,
41130,english (fluently),english,
41131,english (fluently),english,
41132,english (fluently),english,
41133,"english (okay), portuguese (fluently), spanish (okay)",portuguese,"english, spanish"
41134,english (fluently),english,
41135,english (fluently),english,
41136,"english (fluently), spanish (okay)",english,spanish
41137,english (fluently),english,
41138,english (fluently),english,
41139,english (fluently),english,
41140,english (fluently),english,
41141,english (fluently),english,
41142,english (fluently),english,
41143,english (fluently),english,
41144,english (fluently),english,
41145,"english (fluently), vietnamese (fluently)","english, vietnamese",
41146,english (fluently),english,
41147,"english (fluently), spanish (okay)",english,spanish
41148,english (fluently),english,
41149,"english (fluently), bulgarian, c++",english,"bulgarian, c++"
41150,"english (fluently), spanish (okay)",english,spanish
41151,"english (fluently), c++ (fluently)","english, c++",
41152,english (fluently),english,
41153,english (fluently),english,
41154,"english (fluently), thai, other",english,thai
41155,english (fluently),english,
41156,"english (fluently), c++ (okay), other (fluently)",english,c++
41157,english (fluently),english,
41158,english (fluently),english,
41159,"english (fluently), japanese (okay)",english,japanese
41160,"english (fluently), chinese (fluently), japanese (okay)","english, chinese",japanese
41161,"english (fluently), hindi (okay)",english,hindi
41162,"english (fluently), c++ (okay)",english,c++
41163,"english (fluently), portuguese (okay), spanish (fluently)","english, spanish",portuguese
41164,english (fluently),english,
41165,english (fluently),english,
41166,english (fluently),english,
41167,"english (fluently), spanish",english,spanish
41168,"english (fluently), spanish, esperanto (okay)",english,"spanish, esperanto"
41169,english (fluently),english,
41170,english (fluently),english,
41171,"english (fluently), tagalog (fluently), spanish (okay)","english, tagalog",spanish
41172,english (fluently),english,
41173,,english,
41174,english (fluently),english,
41175,english (fluently),english,
41176,english (fluently),english,
41177,"english (fluently), chinese (okay)",english,chinese
41178,english (fluently),english,
41179,"english (fluently), chinese (fluently), indonesian (okay), other (fluently)","english, chinese",indonesian
41180,english (fluently),english,
41181,"english (fluently), spanish (fluently), hebrew (okay), chinese (okay)","english, spanish","hebrew, chinese"
41182,english (fluently),english,
41183,english (fluently),english,
41184,"english (fluently), french (okay)",english,french
41185,english (fluently),english,
41186,"english (fluently), english (fluently)",english,
41187,"english (fluently), vietnamese (okay)",english,vietnamese
41188,english (fluently),english,
41189,english (fluently),english,
41190,"english (fluently), spanish",english,spanish
41191,english (fluently),english,
41192,"english (fluently), spanish",english,spanish
41193,"english (fluently), c++ (fluently)","english, c++",
41194,english (fluently),english,
41195,"english (fluently), c++ (fluently)","english, c++",
41196,english (fluently),english,
41197,english (fluently),english,
41198,english (fluently),english,
41199,"english (fluently), chinese (okay)",english,chinese
41200,english (fluently),english,
41201,"english (fluently), french (okay)",english,french
41202,english (fluently),english,
41203,english (fluently),english,
41204,english (fluently),english,
41205,"english (fluently), german (okay)",english,german
41206,"english (fluently), chinese (okay), french (okay)",english,"chinese, french"
41207,english (fluently),english,
41208,english (fluently),english,
41209,"english (fluently), spanish (okay)",english,spanish
41210,english (fluently),english,
41211,"english (fluently), spanish (okay), other",english,spanish
41212,"english (fluently), spanish (okay)",english,spanish
41213,english (fluently),english,
41214,english (fluently),english,
41215,english (fluently),english,
41216,english (fluently),english,
41217,english (fluently),english,
41218,english (fluently),english,
41219,english (fluently),english,
41220,"english (fluently), spanish",english,spanish
41221,english (fluently),english,
41222,english (fluently),english,
41223,english (fluently),english,
41224,english (fluently),english,
41225,"english (fluently), spanish (okay)",english,spanish
41226,english (fluently),english,
41227,"english (fluently), german (okay)",english,german
41228,english (fluently),english,
41229,"english (fluently), spanish (fluently)","english, spanish",
41230,"english (fluently), croatian (fluently)","english, croatian",
41231,english (fluently),english,
41232,english (fluently),english,
41233,english (fluently),english,
41234,english (fluently),english,
41235,english (fluently),english,
41236,english (fluently),english,
41237,"english (fluently), spanish (fluently), c++ (okay)","english, spanish",c++
41238,english (fluently),english,
41239,english (fluently),english,
41240,english (fluently),english,
41241,english (fluently),english,
41242,"english (fluently), spanish (okay)",english,spanish
41243,english (fluently),english,
41244,english (fluently),english,
41245,english (fluently),english,
41246,english (fluently),english,
41247,"english (fluently), italian (okay), spanish (okay)",english,"italian, spanish"
41248,"english (fluently), spanish (okay)",english,spanish
41249,english (fluently),english,
41250,english (fluently),english,
41251,english (fluently),english,
41252,english (fluently),english,
41253,english (fluently),english,
41254,english (fluently),english,
41255,english (fluently),english,
41256,english (fluently),english,
41257,english (fluently),english,
41258,english (fluently),english,
41259,"english (fluently), spanish (fluently)","english, spanish",
41260,english (fluently),english,
41261,english (fluently),english,
41262,english (fluently),english,
41263,english (fluently),english,
41264,"english (fluently), spanish (okay)",english,spanish
41265,english (fluently),english,
41266,english (fluently),english,
41267,english (fluently),english,
41268,english (fluently),english,
41269,"english (fluently), spanish (okay)",english,spanish
41270,"english (fluently), spanish (okay)",english,spanish
41271,"english (fluently), spanish (okay)",english,spanish
41272,english (okay),english,english
41273,english (fluently),english,
41274,english (fluently),english,
41275,english (fluently),english,
41276,"english (fluently), spanish (fluently), c++ (okay)","english, spanish",c++
41277,english (fluently),english,
41278,english (fluently),english,
41279,english (fluently),english,
41280,"english (fluently), chinese (okay), japanese (okay)",english,"chinese, japanese"
41281,english (fluently),english,
41282,"english (fluently), chinese",english,chinese
41283,english (fluently),english,
41284,english (fluently),english,
41285,english (fluently),english,
41286,english (fluently),english,
41287,english (fluently),english,
41288,"english (fluently), tagalog (okay)",english,tagalog
41289,english (fluently),english,
41290,english (fluently),english,
41291,english (fluently),english,
41292,english (fluently),english,
41293,"english (fluently), vietnamese, french",english,"vietnamese, french"
41294,"english (fluently), vietnamese",english,vietnamese
41295,english (fluently),english,
41296,english (fluently),english,
41297,"english (fluently), chinese (fluently)","english, chinese",
41298,english (okay),english,english
41299,english (fluently),english,
41300,"english (fluently), spanish (okay)",english,spanish
41301,english (fluently),english,
41302,"english (fluently), spanish (fluently)","english, spanish",
41303,english (fluently),english,
41304,"english (fluently), russian (fluently), hebrew (fluently)","english, russian, hebrew",
41305,english (fluently),english,
41306,"english (fluently), spanish",english,spanish
41307,english (fluently),english,
41308,english (fluently),english,
41309,"english (fluently), spanish (fluently)","english, spanish",
41310,english (fluently),english,
41311,"english (fluently), french (okay)",english,french
41312,"english (fluently), french (okay)",english,french
41313,english (okay),english,english
41314,english (fluently),english,
41315,"english (fluently), spanish (okay)",english,spanish
41316,english (fluently),english,
41317,english (fluently),english,
41318,english (fluently),english,
41319,english (fluently),english,
41320,english (fluently),english,
41321,english (fluently),english,
41322,"english (fluently), french (okay)",english,french
41323,english (fluently),english,
41324,english (fluently),english,
41325,"english (fluently), italian, spanish, portuguese",english,"italian, spanish, portuguese"
41326,"english (fluently), esperanto (fluently), c++ (okay)","english, esperanto",c++
41327,english (fluently),english,
41328,"english (fluently), french (fluently), spanish (okay)","english, french",spanish
41329,"english (fluently), spanish (okay)",english,spanish
41330,"english (fluently), spanish (okay)",english,spanish
41331,english (fluently),english,
41332,"english (fluently), french (okay)",english,french
41333,english (fluently),english,
41334,english (fluently),english,
41335,english (fluently),english,
41336,"english (fluently), arabic (okay), french (fluently)","english, french",arabic
41337,english (fluently),english,
41338,english (fluently),english,
41339,english (fluently),english,
41340,english (okay),english,english
41341,english (fluently),english,
41342,english (fluently),english,
41343,"english (fluently), spanish",english,spanish
41344,english (fluently),english,
41345,"english (fluently), german (okay)",english,german
41346,"english (fluently), chinese (fluently)","english, chinese",
41347,english (fluently),english,
41348,english (fluently),english,
41349,english (fluently),english,
41350,english (fluently),english,
41351,english (fluently),english,
41352,english (fluently),english,
41353,english (fluently),english,
41354,english (fluently),english,
41355,"english (fluently), chinese (okay)",english,chinese
41356,english (fluently),english,
41357,english (fluently),english,
41358,"english (fluently), spanish (okay)",english,spanish
41359,"english (fluently), italian (okay)",english,italian
41360,english (fluently),english,
41361,"english (fluently), spanish (okay)",english,spanish
41362,"english (fluently), other",english,
41363,"english (fluently), spanish (okay)",english,spanish
41364,"english (fluently), german (fluently)","english, german",
41365,english (fluently),english,
41366,english (fluently),english,
41367,english (fluently),english,
41368,english (fluently),english,
41369,english (fluently),english,
41370,"english (okay), yiddish (okay)",english,"english, yiddish"
41371,english (fluently),english,
41372,english (fluently),english,
41373,english (fluently),english,
41374,"english (fluently), spanish (okay)",english,spanish
41375,english (fluently),english,
41376,"english (fluently), spanish (fluently)","english, spanish",
41377,english (fluently),english,
41378,english (fluently),english,
41379,english (fluently),english,
41380,english (fluently),english,
41381,english (fluently),english,
41382,english (fluently),english,
41383,english (fluently),english,
41384,english (okay),english,english
41385,english (fluently),english,
41386,english (fluently),english,
41387,english (fluently),english,
41388,"english (fluently), spanish",english,spanish
41389,english (fluently),english,
41390,english (fluently),english,
41391,"english (fluently), spanish (fluently), hebrew (okay)","english, spanish",hebrew
41392,english (fluently),english,
41393,english (fluently),english,
41394,english (fluently),english,
41395,"english (fluently), spanish (okay)",english,spanish
41396,"english (fluently), spanish (fluently)","english, spanish",
41397,english (fluently),english,
41398,english (fluently),english,
41399,english (fluently),english,
41400,"english (fluently), chinese",english,chinese
41401,english (fluently),english,
41402,"english (fluently), french (fluently)","english, french",
41403,english (fluently),english,
41404,english (fluently),english,
41405,"english (fluently), romanian (fluently)","english, romanian",
41406,english (fluently),english,
41407,"english (fluently), spanish (fluently)","english, spanish",
41408,"english (fluently), chinese (okay)",english,chinese
41409,"english (fluently), german (okay), spanish (okay)",english,"german, spanish"
41410,"english (fluently), vietnamese (fluently), french (okay)","english, vietnamese",french
41411,"english (fluently), irish (okay)",english,irish
41412,english (fluently),english,
41413,"english (fluently), french (okay), italian (okay)",english,"french, italian"
41414,english (fluently),english,
41415,english (fluently),english,
41416,english (fluently),english,
41417,english (fluently),english,
41418,english (fluently),english,
41419,english (fluently),english,
41420,english (fluently),english,
41421,english (fluently),english,
41422,english (fluently),english,
41423,english (fluently),english,
41424,english (fluently),english,
41425,english (fluently),english,
41426,"english (fluently), c++ (fluently)","english, c++",
41427,english (fluently),english,
41428,english (fluently),english,
41429,"english (fluently), spanish (fluently)","english, spanish",
41430,"english (fluently), portuguese (fluently), spanish (okay)","english, portuguese",spanish
41431,english (fluently),english,
41432,english (fluently),english,
41433,english (fluently),english,
41434,"english (fluently), sign language (okay)",english,sign language
41435,"english (fluently), spanish (okay)",english,spanish
41436,english (fluently),english,
41437,english (fluently),english,
41438,"english (fluently), chinese (fluently)","english, chinese",
41439,"english (fluently), chinese",english,chinese
41440,"english (fluently), chinese (fluently)","english, chinese",
41441,english (fluently),english,
41442,english (fluently),english,
41443,english (fluently),english,
41444,"english (fluently), french (okay)",english,french
41445,english (fluently),english,
41446,english (fluently),english,
41447,"english (fluently), spanish (fluently)","english, spanish",
41448,"english (fluently), spanish (okay)",english,spanish
41449,english (fluently),english,
41450,"english (fluently), spanish (okay)",english,spanish
41451,"english (fluently), spanish (okay), german (okay)",english,"spanish, german"
41452,"english (fluently), sign language (okay)",english,sign language
41453,english (fluently),english,
41454,english (fluently),english,
41455,english (fluently),english,
41456,english (fluently),english,
41457,english (fluently),english,
41458,english (fluently),english,
41459,english (fluently),english,
41460,"english (fluently), french (okay)",english,french
41461,english (fluently),english,
41462,"english (fluently), spanish (okay)",english,spanish
41463,english (fluently),english,
41464,"english (fluently), chinese (fluently), japanese (okay)","english, chinese",japanese
41465,english (fluently),english,
41466,"english (fluently), spanish (okay)",english,spanish
41467,"english (okay), spanish (okay), french (okay)",english,"english, spanish, french"
41468,"english (fluently), portuguese (fluently), spanish (fluently), italian (okay)","english, portuguese, spanish",italian
41469,english (fluently),english,
41470,english (fluently),english,
41471,"english (fluently), tagalog, sign language",english,"tagalog, sign language"
41472,english (fluently),english,
41473,"english (fluently), italian (okay)",english,italian
41474,english (fluently),english,
41475,english (fluently),english,
41476,"english (fluently), spanish (okay)",english,spanish
41477,english (fluently),english,
41478,english (fluently),english,
41479,english (fluently),english,
41480,english (fluently),english,
41481,english (fluently),english,
41482,"spanish (okay), yiddish (fluently)",yiddish,spanish
41483,"english (fluently), spanish (fluently)","english, spanish",
41484,english (fluently),english,
41485,english (fluently),english,
41486,"english (fluently), french (okay), spanish (okay)",english,"french, spanish"
41487,english (fluently),english,
41488,"english (fluently), spanish (okay)",english,spanish
41489,english (fluently),english,
41490,english (fluently),english,
41491,"english (fluently), spanish (okay)",english,spanish
41492,english (fluently),english,
41493,english (fluently),english,
41494,english (fluently),english,
41495,english (fluently),english,
41496,english (fluently),english,
41497,english (fluently),english,
41498,"english (fluently), chinese (fluently)","english, chinese",
41499,"english (fluently), spanish (okay)",english,spanish
41500,english (fluently),english,
41501,"english (fluently), tagalog",english,tagalog
41502,english (fluently),english,
41503,english (fluently),english,
41504,english (fluently),english,
41505,"english (fluently), chinese (okay)",english,chinese
41506,"english (fluently), italian (okay)",english,italian
41507,"english (fluently), spanish (fluently)","english, spanish",
41508,english (fluently),english,
41509,english (fluently),english,
41510,"english (fluently), chinese (okay), french (okay)",english,"chinese, french"
41511,english (fluently),english,
41512,english (fluently),english,
41513,english (fluently),english,
41514,english (fluently),english,
41515,"english (fluently), german (fluently), russian (fluently)","english, german, russian",
41516,english (fluently),english,
41517,"english (fluently), spanish (okay), latin (okay)",english,"spanish, latin"
41518,"english (fluently), spanish (okay)",english,spanish
41519,"english (fluently), chinese, japanese, spanish",english,"chinese, japanese, spanish"
41520,"english (fluently), italian (okay), spanish (okay)",english,"italian, spanish"
41521,"english (fluently), chinese",english,chinese
41522,english (fluently),english,
41523,english (fluently),english,
41524,"english (fluently), spanish (okay)",english,spanish
41525,"english (fluently), spanish (fluently)","english, spanish",
41526,"english (fluently), spanish (fluently), portuguese (okay)","english, spanish",portuguese
41527,"english (fluently), spanish (fluently)","english, spanish",
41528,english (fluently),english,
41529,"english (fluently), spanish (okay)",english,spanish
41530,english (fluently),english,
41531,english (fluently),english,
41532,english (fluently),english,
41533,english (fluently),english,
41534,"english (fluently), croatian (fluently), serbian (fluently)","english, croatian, serbian",
41535,"english (fluently), spanish (okay)",english,spanish
41536,"english (fluently), spanish (okay)",english,spanish
41537,"english (fluently), chinese",english,chinese
41538,"english (fluently), spanish",english,spanish
41539,english (fluently),english,
41540,english (fluently),english,
41541,"english (fluently), spanish, french, german",english,"spanish, french, german"
41542,english (fluently),english,
41543,"english (fluently), italian, spanish",english,"italian, spanish"
41544,english (fluently),english,
41545,english (fluently),english,
41546,"english (fluently), croatian",english,croatian
41547,"english (fluently), hindi (okay), spanish (okay)",english,"hindi, spanish"
41548,english (fluently),english,
41549,english (fluently),english,
41550,english (fluently),english,
41551,english (fluently),english,
41552,english (fluently),english,
41553,"english (fluently), spanish (okay)",english,spanish
41554,english (fluently),english,
41555,english (fluently),english,
41556,english (fluently),english,
41557,english (fluently),english,
41558,english (fluently),english,
41559,english (fluently),english,
41560,english (fluently),english,
41561,english (fluently),english,
41562,english (fluently),english,
41563,"english (fluently), french (okay)",english,french
41564,english (fluently),english,
41565,english (fluently),english,
41566,english (fluently),english,
41567,english (fluently),english,
41568,"english (fluently), spanish (fluently)","english, spanish",
41569,"english (fluently), tagalog (okay)",english,tagalog
41570,english (fluently),english,
41571,english (fluently),english,
41572,"english (fluently), spanish (okay)",english,spanish
41573,english (fluently),english,
41574,"english (fluently), spanish (okay)",english,spanish
41575,english (fluently),english,
41576,"english (fluently), chinese",english,chinese
41577,"english (fluently), spanish (fluently)","english, spanish",
41578,english (fluently),english,
41579,"english (fluently), chinese (okay)",english,chinese
41580,english (fluently),english,
41581,english (fluently),english,
41582,english (fluently),english,
41583,"english (fluently), italian (okay)",english,italian
41584,english (fluently),english,
41585,"english (fluently), french",english,french
41586,"english (fluently), sign language (okay)",english,sign language
41587,english (fluently),english,
41588,english (fluently),english,
41589,english (fluently),english,
41590,"english (fluently), spanish (fluently), japanese (fluently)","english, spanish, japanese",
41591,english (fluently),english,
41592,english (fluently),english,
41593,english (fluently),english,
41594,english (fluently),english,
41595,english (fluently),english,
41596,english (fluently),english,
41597,english (fluently),english,
41598,english (fluently),english,
41599,"english (fluently), spanish (fluently)","english, spanish",
41600,english (fluently),english,
41601,english (fluently),english,
41602,english (fluently),english,
41603,english (fluently),english,
41604,"english (fluently), chinese (okay)",english,chinese
41605,english (fluently),english,
41606,english (fluently),english,
41607,"english (fluently), farsi (fluently)","english, farsi",
41608,english (fluently),english,
41609,english (fluently),english,
41610,english (fluently),english,
41611,"english (fluently), chinese (fluently)","english, chinese",
41612,english (fluently),english,
41613,"english (fluently), spanish (okay)",english,spanish
41614,english (fluently),english,
41615,"english (fluently), spanish (okay)",english,spanish
41616,english (fluently),english,
41617,english (fluently),english,
41618,"english (fluently), korean",english,korean
41619,english (fluently),english,
41620,"english (fluently), chinese (fluently)","english, chinese",
41621,english (fluently),english,
41622,english (fluently),english,
41623,english (fluently),english,
41624,english (fluently),english,
41625,"english (fluently), spanish (okay)",english,spanish
41626,"english (fluently), chinese (fluently)","english, chinese",
41627,"english (okay), french (okay)",english,"english, french"
41628,"english (fluently), chinese (fluently)","english, chinese",
41629,"english (fluently), chinese (okay)",english,chinese
41630,english (fluently),english,
41631,english (fluently),english,
41632,english (fluently),english,
41633,english (fluently),english,
41634,"english (fluently), c++, ancient greek",english,"c++, ancient greek"
41635,"english (okay), french (fluently)",french,english
41636,"english (fluently), vietnamese (fluently)","english, vietnamese",
41637,english (fluently),english,
41638,english (fluently),english,
41639,english (fluently),english,
41640,english (fluently),english,
41641,english (fluently),english,
41642,english (fluently),english,
41643,english (fluently),english,
41644,english (fluently),english,
41645,"english (fluently), spanish (fluently)","english, spanish",
41646,english (fluently),english,
41647,english (fluently),english,
41648,"gujarati (fluently), ancient greek (fluently), latin (fluently), sanskrit (fluently)","gujarati, ancient greek, latin, sanskrit",
41649,"english (fluently), chinese (fluently)","english, chinese",
41650,"english (fluently), spanish (okay)",english,spanish
41651,english (fluently),english,
41652,english (fluently),english,
41653,"english (fluently), spanish (okay)",english,spanish
41654,english (fluently),english,
41655,"english (fluently), sign language (fluently)","english, sign language",
41656,english (fluently),english,
41657,"english (fluently), c++",english,c++
41658,english (fluently),english,
41659,english (fluently),english,
41660,"english (fluently), spanish (okay)",english,spanish
41661,"english (fluently), french (okay)",english,french
41662,english (fluently),english,
41663,english (fluently),english,
41664,"english (fluently), spanish (fluently)","english, spanish",
41665,"english (fluently), hebrew (okay)",english,hebrew
41666,english (fluently),english,
41667,english (fluently),english,
41668,english (fluently),english,
41669,english (fluently),english,
41670,english (fluently),english,
41671,english (fluently),english,
41672,english (fluently),english,
41673,,english,
41674,english (fluently),english,
41675,"english (fluently), spanish (okay)",english,spanish
41676,english (fluently),english,
41677,"english (fluently), dutch (okay)",english,dutch
41678,,english,
41679,"english (fluently), chinese (fluently)","english, chinese",
41680,english (fluently),english,
41681,"english (fluently), spanish (okay)",english,spanish
41682,"english (fluently), spanish (okay)",english,spanish
41683,english (fluently),english,
41684,english (fluently),english,
41685,english (fluently),english,
41686,,english,
41687,english (fluently),english,
41688,english (fluently),english,
41689,english (fluently),english,
41690,"english (fluently), arabic (fluently), spanish (okay)","english, arabic",spanish
41691,"english (fluently), chinese (okay), c++ (fluently)","english, c++",chinese
41692,english (fluently),english,
41693,"english (fluently), spanish (okay)",english,spanish
41694,english (fluently),english,
