index,religion,religion_name,seriousness
53753,atheism,atheism,no importance
53754,rather not disclose,rather not disclose,no importance
53755,atheism and laughing about it,atheism,laughing
53756,christianity but not too serious about it,christianity,not too serious
53757,christianity and somewhat serious about it,christianity,somewhat serious
53758,atheism,atheism,no importance
53759,agnosticism but not too serious about it,agnosticism,not too serious
53760,rather not disclose,rather not disclose,no importance
53761,rather not disclose,rather not disclose,no importance
53762,agnosticism,agnosticism,no importance
53763,rather not disclose,rather not disclose,no importance
53764,other and laughing about it,other,no importance
53765,rather not disclose,rather not disclose,no importance
53766,christianity and very serious about it,christianity,very serious
53767,rather not disclose,rather not disclose,no importance
53768,agnosticism and laughing about it,agnosticism,laughing
53769,rather not disclose,rather not disclose,no importance
53770,other,other,no importance
53771,agnosticism and laughing about it,agnosticism,laughing
53772,agnosticism,agnosticism,no importance
53773,rather not disclose,rather not disclose,no importance
53774,rather not disclose,rather not disclose,no importance
53775,agnosticism,agnosticism,no importance
53776,agnosticism and somewhat serious about it,agnosticism,somewhat serious
53777,rather not disclose,rather not disclose,no importance
53778,other,other,no importance
53779,catholicism and laughing about it,catholicism,laughing
53780,rather not disclose,rather not disclose,no importance
53781,atheism,atheism,no importance
53782,rather not disclose,rather not disclose,no importance
53783,atheism,atheism,no importance
53784,buddhism and laughing about it,buddhism,laughing
53785,other and laughing about it,other,no importance
53786,agnosticism,agnosticism,no importance
53787,rather not disclose,rather not disclose,no importance
53788,agnosticism and laughing about it,agnosticism,laughing
53789,other and somewhat serious about it,other,no importance
53790,other and laughing about it,other,no importance
53791,other but not too serious about it,other,no importance
53792,rather not disclose,rather not disclose,no importance
53793,christianity but not too serious about it,christianity,not too serious
53794,agnosticism but not too serious about it,agnosticism,not too serious
53795,other but not too serious about it,other,no importance
53796,judaism but not too serious about it,judaism,not too serious
53797,other,other,no importance
53798,rather not disclose,rather not disclose,no importance
53799,rather not disclose,rather not disclose,no importance
53800,rather not disclose,rather not disclose,no importance
53801,rather not disclose,rather not disclose,no importance
53802,catholicism,catholicism,no importance
53803,atheism,atheism,no importance
53804,agnosticism and somewhat serious about it,agnosticism,somewhat serious
53805,rather not disclose,rather not disclose,no importance
53806,catholicism,catholicism,no importance
53807,rather not disclose,rather not disclose,no importance
53808,atheism and very serious about it,atheism,very serious
53809,rather not disclose,rather not disclose,no importance
53810,rather not disclose,rather not disclose,no importance
53811,other but not too serious about it,other,no importance
53812,other and somewhat serious about it,other,no importance
53813,other and laughing about it,other,no importance
53814,other and laughing about it,other,no importance
53815,atheism,atheism,no importance
53816,other but not too serious about it,other,no importance
53817,agnosticism and somewhat serious about it,agnosticism,somewhat serious
53818,judaism,judaism,no importance
53819,agnosticism,agnosticism,no importance
53820,atheism but not too serious about it,atheism,not too serious
53821,catholicism,catholicism,no importance
53822,rather not disclose,rather not disclose,no importance
53823,catholicism and laughing about it,catholicism,laughing
53824,agnosticism but not too serious about it,agnosticism,not too serious
53825,rather not disclose,rather not disclose,no importance
53826,other but not too serious about it,other,no importance
53827,atheism and very serious about it,atheism,very serious
53828,catholicism but not too serious about it,catholicism,not too serious
53829,christianity but not too serious about it,christianity,not too serious
53830,rather not disclose,rather not disclose,no importance
53831,rather not disclose,rather not disclose,no importance
53832,rather not disclose,rather not disclose,no importance
53833,agnosticism but not too serious about it,agnosticism,not too serious
53834,other,other,no importance
53835,other but not too serious about it,other,no importance
53836,christianity,christianity,no importance
53837,other and somewhat serious about it,other,no importance
53838,other,other,no importance
53839,rather not disclose,rather not disclose,no importance
53840,rather not disclose,rather not disclose,no importance
53841,buddhism but not too serious about it,buddhism,not too serious
53842,other,other,no importance
53843,rather not disclose,rather not disclose,no importance
53844,catholicism,catholicism,no importance
53845,other,other,no importance
53846,atheism but not too serious about it,atheism,not too serious
53847,other,other,no importance
53848,rather not disclose,rather not disclose,no importance
53849,rather not disclose,rather not disclose,no importance
53850,rather not disclose,rather not disclose,no importance
53851,rather not disclose,rather not disclose,no importance
53852,catholicism but not too serious about it,catholicism,not too serious
53853,agnosticism and laughing about it,agnosticism,laughing
53854,agnosticism but not too serious about it,agnosticism,not too serious
53855,catholicism but not too serious about it,catholicism,not too serious
53856,agnosticism and laughing about it,agnosticism,laughing
53857,rather not disclose,rather not disclose,no importance
53858,catholicism but not too serious about it,catholicism,not too serious
53859,rather not disclose,rather not disclose,no importance
53860,rather not disclose,rather not disclose,no importance
53861,christianity and somewhat serious about it,christianity,somewhat serious
53862,atheism,atheism,no importance
53863,atheism,atheism,no importance
53864,judaism but not too serious about it,judaism,not too serious
53865,other and very serious about it,other,no importance
53866,christianity and very serious about it,christianity,very serious
53867,rather not disclose,rather not disclose,no importance
53868,hinduism but not too serious about it,hinduism,not too serious
53869,buddhism and laughing about it,buddhism,laughing
53870,other and laughing about it,other,no importance
53871,atheism,atheism,no importance
53872,judaism but not too serious about it,judaism,not too serious
53873,catholicism and somewhat serious about it,catholicism,somewhat serious
53874,other and laughing about it,other,no importance
53875,rather not disclose,rather not disclose,no importance
53876,other but not too serious about it,other,no importance
53877,atheism and laughing about it,atheism,laughing
53878,rather not disclose,rather not disclose,no importance
53879,rather not disclose,rather not disclose,no importance
53880,other and laughing about it,other,no importance
53881,rather not disclose,rather not disclose,no importance
53882,rather not disclose,rather not disclose,no importance
53883,buddhism but not too serious about it,buddhism,not too serious
53884,agnosticism and laughing about it,agnosticism,laughing
53885,rather not disclose,rather not disclose,no importance
53886,rather not disclose,rather not disclose,no importance
53887,atheism,atheism,no importance
53888,atheism,atheism,no importance
53889,other,other,no importance
53890,rather not disclose,rather not disclose,no importance
53891,catholicism but not too serious about it,catholicism,not too serious
53892,rather not disclose,rather not disclose,no importance
53893,other but not too serious about it,other,no importance
53894,agnosticism,agnosticism,no importance
53895,christianity but not too serious about it,christianity,not too serious
53896,judaism but not too serious about it,judaism,not too serious
53897,catholicism but not too serious about it,catholicism,not too serious
53898,buddhism and laughing about it,buddhism,laughing
53899,judaism,judaism,no importance
53900,rather not disclose,rather not disclose,no importance
53901,catholicism but not too serious about it,catholicism,not too serious
53902,agnosticism and somewhat serious about it,agnosticism,somewhat serious
53903,agnosticism and laughing about it,agnosticism,laughing
53904,agnosticism and laughing about it,agnosticism,laughing
53905,rather not disclose,rather not disclose,no importance
53906,rather not disclose,rather not disclose,no importance
53907,catholicism,catholicism,no importance
53908,atheism and very serious about it,atheism,very serious
53909,other and somewhat serious about it,other,no importance
53910,rather not disclose,rather not disclose,no importance
53911,agnosticism,agnosticism,no importance
53912,catholicism and somewhat serious about it,catholicism,somewhat serious
53913,atheism and somewhat serious about it,atheism,somewhat serious
53914,rather not disclose,rather not disclose,no importance
53915,rather not disclose,rather not disclose,no importance
53916,atheism and laughing about it,atheism,laughing
53917,rather not disclose,rather not disclose,no importance
53918,rather not disclose,rather not disclose,no importance
53919,other and laughing about it,other,no importance
53920,other,other,no importance
53921,buddhism but not too serious about it,buddhism,not too serious
53922,atheism,atheism,no importance
53923,agnosticism and very serious about it,agnosticism,very serious
53924,rather not disclose,rather not disclose,no importance
53925,atheism,atheism,no importance
53926,atheism and very serious about it,atheism,very serious
53927,rather not disclose,rather not disclose,no importance
53928,atheism and somewhat serious about it,atheism,somewhat serious
53929,rather not disclose,rather not disclose,no importance
53930,rather not disclose,rather not disclose,no importance
53931,rather not disclose,rather not disclose,no importance
53932,other,other,no importance
53933,judaism but not too serious about it,judaism,not too serious
53934,agnosticism but not too serious about it,agnosticism,not too serious
53935,atheism and laughing about it,atheism,laughing
53936,agnosticism and laughing about it,agnosticism,laughing
53937,other and somewhat serious about it,other,no importance
53938,catholicism and somewhat serious about it,catholicism,somewhat serious
53939,agnosticism but not too serious about it,agnosticism,not too serious
53940,agnosticism,agnosticism,no importance
53941,other,other,no importance
53942,rather not disclose,rather not disclose,no importance
53943,rather not disclose,rather not disclose,no importance
53944,other,other,no importance
53945,atheism,atheism,no importance
53946,rather not disclose,rather not disclose,no importance
53947,rather not disclose,rather not disclose,no importance
53948,rather not disclose,rather not disclose,no importance
53949,christianity and very serious about it,christianity,very serious
53950,rather not disclose,rather not disclose,no importance
53951,agnosticism,agnosticism,no importance
53952,agnosticism but not too serious about it,agnosticism,not too serious
53953,rather not disclose,rather not disclose,no importance
53954,rather not disclose,rather not disclose,no importance
53955,judaism but not too serious about it,judaism,not too serious
53956,agnosticism and very serious about it,agnosticism,very serious
53957,rather not disclose,rather not disclose,no importance
53958,agnosticism,agnosticism,no importance
53959,rather not disclose,rather not disclose,no importance
53960,christianity but not too serious about it,christianity,not too serious
53961,buddhism and somewhat serious about it,buddhism,somewhat serious
53962,agnosticism but not too serious about it,agnosticism,not too serious
53963,atheism,atheism,no importance
53964,rather not disclose,rather not disclose,no importance
53965,rather not disclose,rather not disclose,no importance
53966,rather not disclose,rather not disclose,no importance
53967,rather not disclose,rather not disclose,no importance
53968,catholicism but not too serious about it,catholicism,not too serious
53969,rather not disclose,rather not disclose,no importance
53970,rather not disclose,rather not disclose,no importance
53971,christianity,christianity,no importance
53972,rather not disclose,rather not disclose,no importance
53973,other and very serious about it,other,no importance
53974,agnosticism but not too serious about it,agnosticism,not too serious
53975,other but not too serious about it,other,no importance
53976,agnosticism but not too serious about it,agnosticism,not too serious
53977,agnosticism but not too serious about it,agnosticism,not too serious
53978,christianity but not too serious about it,christianity,not too serious
53979,rather not disclose,rather not disclose,no importance
53980,agnosticism and somewhat serious about it,agnosticism,somewhat serious
53981,rather not disclose,rather not disclose,no importance
53982,atheism,atheism,no importance
53983,christianity,christianity,no importance
53984,rather not disclose,rather not disclose,no importance
53985,other,other,no importance
53986,rather not disclose,rather not disclose,no importance
53987,atheism but not too serious about it,atheism,not too serious
53988,agnosticism but not too serious about it,agnosticism,not too serious
53989,judaism,judaism,no importance
53990,other and laughing about it,other,no importance
53991,atheism,atheism,no importance
53992,rather not disclose,rather not disclose,no importance
53993,rather not disclose,rather not disclose,no importance
53994,rather not disclose,rather not disclose,no importance
53995,christianity and somewhat serious about it,christianity,somewhat serious
53996,rather not disclose,rather not disclose,no importance
53997,rather not disclose,rather not disclose,no importance
53998,buddhism but not too serious about it,buddhism,not too serious
53999,christianity but not too serious about it,christianity,not too serious
54000,rather not disclose,rather not disclose,no importance
54001,rather not disclose,rather not disclose,no importance
54002,rather not disclose,rather not disclose,no importance
54003,judaism and somewhat serious about it,judaism,somewhat serious
54004,rather not disclose,rather not disclose,no importance
54005,rather not disclose,rather not disclose,no importance
54006,rather not disclose,rather not disclose,no importance
54007,buddhism and somewhat serious about it,buddhism,somewhat serious
54008,rather not disclose,rather not disclose,no importance
54009,atheism and laughing about it,atheism,laughing
54010,other and laughing about it,other,no importance
54011,judaism but not too serious about it,judaism,not too serious
54012,judaism,judaism,no importance
54013,atheism and laughing about it,atheism,laughing
54014,atheism and somewhat serious about it,atheism,somewhat serious
54015,rather not disclose,rather not disclose,no importance
54016,rather not disclose,rather not disclose,no importance
54017,judaism but not too serious about it,judaism,not too serious
54018,catholicism,catholicism,no importance
54019,islam but not too serious about it,islam,not too serious
54020,judaism but not too serious about it,judaism,not too serious
54021,catholicism,catholicism,no importance
54022,agnosticism and somewhat serious about it,agnosticism,somewhat serious
54023,islam and very serious about it,islam,very serious
54024,agnosticism,agnosticism,no importance
54025,other,other,no importance
54026,other and somewhat serious about it,other,no importance
54027,rather not disclose,rather not disclose,no importance
54028,agnosticism,agnosticism,no importance
54029,judaism,judaism,no importance
54030,rather not disclose,rather not disclose,no importance
54031,judaism but not too serious about it,judaism,not too serious
54032,rather not disclose,rather not disclose,no importance
54033,rather not disclose,rather not disclose,no importance
54034,agnosticism but not too serious about it,agnosticism,not too serious
54035,catholicism but not too serious about it,catholicism,not too serious
54036,rather not disclose,rather not disclose,no importance
54037,christianity,christianity,no importance
54038,rather not disclose,rather not disclose,no importance
54039,agnosticism and laughing about it,agnosticism,laughing
54040,rather not disclose,rather not disclose,no importance
54041,agnosticism but not too serious about it,agnosticism,not too serious
54042,agnosticism but not too serious about it,agnosticism,not too serious
54043,rather not disclose,rather not disclose,no importance
54044,other and somewhat serious about it,other,no importance
54045,rather not disclose,rather not disclose,no importance
54046,atheism and very serious about it,atheism,very serious
54047,christianity and very serious about it,christianity,very serious
54048,rather not disclose,rather not disclose,no importance
54049,rather not disclose,rather not disclose,no importance
54050,rather not disclose,rather not disclose,no importance
54051,atheism,atheism,no importance
54052,rather not disclose,rather not disclose,no importance
54053,rather not disclose,rather not disclose,no importance
54054,rather not disclose,rather not disclose,no importance
54055,agnosticism,agnosticism,no importance
54056,other and laughing about it,other,no importance
54057,other,other,no importance
54058,rather not disclose,rather not disclose,no importance
54059,atheism but not too serious about it,atheism,not too serious
54060,rather not disclose,rather not disclose,no importance
54061,rather not disclose,rather not disclose,no importance
54062,catholicism but not too serious about it,catholicism,not too serious
54063,christianity but not too serious about it,christianity,not too serious
54064,islam but not too serious about it,islam,not too serious
54065,atheism and somewhat serious about it,atheism,somewhat serious
54066,catholicism and laughing about it,catholicism,laughing
54067,rather not disclose,rather not disclose,no importance
54068,atheism and laughing about it,atheism,laughing
54069,other,other,no importance
54070,rather not disclose,rather not disclose,no importance
54071,other and somewhat serious about it,other,no importance
54072,christianity and very serious about it,christianity,very serious
54073,rather not disclose,rather not disclose,no importance
54074,agnosticism and laughing about it,agnosticism,laughing
54075,atheism and laughing about it,atheism,laughing
54076,rather not disclose,rather not disclose,no importance
54077,agnosticism and somewhat serious about it,agnosticism,somewhat serious
54078,rather not disclose,rather not disclose,no importance
54079,christianity,christianity,no importance
54080,catholicism and somewhat serious about it,catholicism,somewhat serious
54081,atheism and somewhat serious about it,atheism,somewhat serious
54082,catholicism and laughing about it,catholicism,laughing
54083,other and laughing about it,other,no importance
54084,atheism and laughing about it,atheism,laughing
54085,rather not disclose,rather not disclose,no importance
54086,judaism but not too serious about it,judaism,not too serious
54087,agnosticism but not too serious about it,agnosticism,not too serious
54088,rather not disclose,rather not disclose,no importance
54089,rather not disclose,rather not disclose,no importance
54090,atheism but not too serious about it,atheism,not too serious
54091,agnosticism,agnosticism,no importance
54092,rather not disclose,rather not disclose,no importance
54093,agnosticism and somewhat serious about it,agnosticism,somewhat serious
54094,rather not disclose,rather not disclose,no importance
54095,rather not disclose,rather not disclose,no importance
54096,agnosticism,agnosticism,no importance
54097,rather not disclose,rather not disclose,no importance
54098,atheism but not too serious about it,atheism,not too serious
54099,rather not disclose,rather not disclose,no importance
54100,agnosticism,agnosticism,no importance
54101,atheism and somewhat serious about it,atheism,somewhat serious
54102,rather not disclose,rather not disclose,no importance
54103,atheism,atheism,no importance
54104,rather not disclose,rather not disclose,no importance
54105,agnosticism,agnosticism,no importance
54106,christianity but not too serious about it,christianity,not too serious
54107,other but not too serious about it,other,no importance
54108,rather not disclose,rather not disclose,no importance
54109,rather not disclose,rather not disclose,no importance
54110,other and laughing about it,other,no importance
54111,rather not disclose,rather not disclose,no importance
54112,agnosticism and laughing about it,agnosticism,laughing
54113,agnosticism but not too serious about it,agnosticism,not too serious
54114,agnosticism but not too serious about it,agnosticism,not too serious
54115,rather not disclose,rather not disclose,no importance
54116,judaism,judaism,no importance
54117,rather not disclose,rather not disclose,no importance
54118,christianity and somewhat serious about it,christianity,somewhat serious
54119,rather not disclose,rather not disclose,no importance
54120,catholicism but not too serious about it,catholicism,not too serious
54121,other but not too serious about it,other,no importance
54122,rather not disclose,rather not disclose,no importance
54123,other,other,no importance
54124,christianity,christianity,no importance
54125,rather not disclose,rather not disclose,no importance
54126,atheism,atheism,no importance
54127,atheism but not too serious about it,atheism,not too serious
54128,rather not disclose,rather not disclose,no importance
54129,other,other,no importance
54130,buddhism but not too serious about it,buddhism,not too serious
54131,other but not too serious about it,other,no importance
54132,rather not disclose,rather not disclose,no importance
54133,rather not disclose,rather not disclose,no importance
54134,rather not disclose,rather not disclose,no importance
54135,catholicism but not too serious about it,catholicism,not too serious
54136,christianity but not too serious about it,christianity,not too serious
54137,agnosticism but not too serious about it,agnosticism,not too serious
54138,atheism but not too serious about it,atheism,not too serious
54139,agnosticism but not too serious about it,agnosticism,not too serious
54140,catholicism,catholicism,no importance
54141,rather not disclose,rather not disclose,no importance
54142,rather not disclose,rather not disclose,no importance
54143,judaism and laughing about it,judaism,laughing
54144,rather not disclose,rather not disclose,no importance
54145,christianity and laughing about it,christianity,laughing
54146,catholicism,catholicism,no importance
54147,judaism but not too serious about it,judaism,not too serious
54148,atheism and somewhat serious about it,atheism,somewhat serious
54149,judaism but not too serious about it,judaism,not too serious
54150,atheism but not too serious about it,atheism,not too serious
54151,christianity and very serious about it,christianity,very serious
54152,other but not too serious about it,other,no importance
54153,judaism but not too serious about it,judaism,not too serious
54154,rather not disclose,rather not disclose,no importance
54155,atheism,atheism,no importance
54156,rather not disclose,rather not disclose,no importance
54157,christianity,christianity,no importance
54158,other and laughing about it,other,no importance
54159,other,other,no importance
54160,atheism and laughing about it,atheism,laughing
54161,rather not disclose,rather not disclose,no importance
54162,rather not disclose,rather not disclose,no importance
54163,other and laughing about it,other,no importance
54164,other and very serious about it,other,no importance
54165,other,other,no importance
54166,rather not disclose,rather not disclose,no importance
54167,rather not disclose,rather not disclose,no importance
54168,atheism,atheism,no importance
54169,other and somewhat serious about it,other,no importance
54170,rather not disclose,rather not disclose,no importance
54171,rather not disclose,rather not disclose,no importance
54172,other and laughing about it,other,no importance
54173,rather not disclose,rather not disclose,no importance
54174,atheism but not too serious about it,atheism,not too serious
54175,christianity but not too serious about it,christianity,not too serious
54176,rather not disclose,rather not disclose,no importance
54177,christianity and somewhat serious about it,christianity,somewhat serious
54178,rather not disclose,rather not disclose,no importance
54179,other and somewhat serious about it,other,no importance
54180,other and somewhat serious about it,other,no importance
54181,rather not disclose,rather not disclose,no importance
54182,judaism but not too serious about it,judaism,not too serious
54183,atheism and somewhat serious about it,atheism,somewhat serious
54184,atheism,atheism,no importance
54185,agnosticism and laughing about it,agnosticism,laughing
54186,christianity and very serious about it,christianity,very serious
54187,rather not disclose,rather not disclose,no importance
54188,other and somewhat serious about it,other,no importance
54189,agnosticism,agnosticism,no importance
54190,other,other,no importance
54191,other and laughing about it,other,no importance
54192,other but not too serious about it,other,no importance
54193,agnosticism but not too serious about it,agnosticism,not too serious
54194,other,other,no importance
54195,judaism and laughing about it,judaism,laughing
54196,christianity,christianity,no importance
54197,other and laughing about it,other,no importance
54198,atheism,atheism,no importance
54199,christianity,christianity,no importance
54200,rather not disclose,rather not disclose,no importance
54201,christianity and very serious about it,christianity,very serious
54202,rather not disclose,rather not disclose,no importance
54203,atheism and laughing about it,atheism,laughing
54204,rather not disclose,rather not disclose,no importance
54205,buddhism but not too serious about it,buddhism,not too serious
54206,other but not too serious about it,other,no importance
54207,christianity,christianity,no importance
54208,rather not disclose,rather not disclose,no importance
54209,rather not disclose,rather not disclose,no importance
54210,rather not disclose,rather not disclose,no importance
54211,rather not disclose,rather not disclose,no importance
54212,rather not disclose,rather not disclose,no importance
54213,other and laughing about it,other,no importance
54214,other and somewhat serious about it,other,no importance
54215,christianity and somewhat serious about it,christianity,somewhat serious
54216,other and laughing about it,other,no importance
54217,rather not disclose,rather not disclose,no importance
54218,atheism and somewhat serious about it,atheism,somewhat serious
54219,buddhism and laughing about it,buddhism,laughing
54220,rather not disclose,rather not disclose,no importance
54221,other but not too serious about it,other,no importance
54222,agnosticism but not too serious about it,agnosticism,not too serious
54223,rather not disclose,rather not disclose,no importance
54224,other but not too serious about it,other,no importance
54225,rather not disclose,rather not disclose,no importance
54226,rather not disclose,rather not disclose,no importance
54227,buddhism and somewhat serious about it,buddhism,somewhat serious
54228,agnosticism but not too serious about it,agnosticism,not too serious
54229,atheism but not too serious about it,atheism,not too serious
54230,judaism,judaism,no importance
54231,christianity,christianity,no importance
54232,other,other,no importance
54233,judaism and somewhat serious about it,judaism,somewhat serious
54234,rather not disclose,rather not disclose,no importance
54235,christianity,christianity,no importance
54236,agnosticism,agnosticism,no importance
54237,catholicism but not too serious about it,catholicism,not too serious
54238,other and somewhat serious about it,other,no importance
54239,rather not disclose,rather not disclose,no importance
54240,agnosticism,agnosticism,no importance
54241,other,other,no importance
54242,other and somewhat serious about it,other,no importance
54243,agnosticism and laughing about it,agnosticism,laughing
54244,judaism and laughing about it,judaism,laughing
54245,agnosticism and laughing about it,agnosticism,laughing
54246,atheism and laughing about it,atheism,laughing
54247,buddhism and laughing about it,buddhism,laughing
54248,rather not disclose,rather not disclose,no importance
54249,other and somewhat serious about it,other,no importance
54250,catholicism and laughing about it,catholicism,laughing
54251,rather not disclose,rather not disclose,no importance
54252,atheism and laughing about it,atheism,laughing
54253,rather not disclose,rather not disclose,no importance
54254,other,other,no importance
54255,judaism but not too serious about it,judaism,not too serious
54256,catholicism but not too serious about it,catholicism,not too serious
54257,rather not disclose,rather not disclose,no importance
54258,agnosticism but not too serious about it,agnosticism,not too serious
54259,christianity,christianity,no importance
54260,rather not disclose,rather not disclose,no importance
54261,rather not disclose,rather not disclose,no importance
54262,christianity but not too serious about it,christianity,not too serious
54263,buddhism and somewhat serious about it,buddhism,somewhat serious
54264,rather not disclose,rather not disclose,no importance
54265,other and laughing about it,other,no importance
54266,other and laughing about it,other,no importance
54267,rather not disclose,rather not disclose,no importance
54268,rather not disclose,rather not disclose,no importance
54269,agnosticism,agnosticism,no importance
54270,catholicism and laughing about it,catholicism,laughing
54271,catholicism but not too serious about it,catholicism,not too serious
54272,judaism but not too serious about it,judaism,not too serious
54273,rather not disclose,rather not disclose,no importance
54274,agnosticism,agnosticism,no importance
54275,other,other,no importance
54276,rather not disclose,rather not disclose,no importance
54277,rather not disclose,rather not disclose,no importance
54278,christianity but not too serious about it,christianity,not too serious
54279,rather not disclose,rather not disclose,no importance
54280,judaism,judaism,no importance
54281,judaism but not too serious about it,judaism,not too serious
54282,judaism but not too serious about it,judaism,not too serious
54283,agnosticism,agnosticism,no importance
54284,judaism and somewhat serious about it,judaism,somewhat serious
54285,catholicism and somewhat serious about it,catholicism,somewhat serious
54286,atheism,atheism,no importance
54287,agnosticism and laughing about it,agnosticism,laughing
54288,catholicism and laughing about it,catholicism,laughing
54289,catholicism but not too serious about it,catholicism,not too serious
54290,agnosticism and laughing about it,agnosticism,laughing
54291,other and laughing about it,other,no importance
54292,christianity and somewhat serious about it,christianity,somewhat serious
54293,other but not too serious about it,other,no importance
54294,agnosticism and laughing about it,agnosticism,laughing
54295,rather not disclose,rather not disclose,no importance
54296,rather not disclose,rather not disclose,no importance
54297,agnosticism and somewhat serious about it,agnosticism,somewhat serious
54298,atheism but not too serious about it,atheism,not too serious
54299,christianity and very serious about it,christianity,very serious
54300,atheism and laughing about it,atheism,laughing
54301,christianity but not too serious about it,christianity,not too serious
54302,atheism and laughing about it,atheism,laughing
54303,agnosticism and laughing about it,agnosticism,laughing
54304,rather not disclose,rather not disclose,no importance
54305,other,other,no importance
54306,agnosticism and somewhat serious about it,agnosticism,somewhat serious
54307,agnosticism but not too serious about it,agnosticism,not too serious
54308,atheism and laughing about it,atheism,laughing
54309,rather not disclose,rather not disclose,no importance
54310,other but not too serious about it,other,no importance
54311,rather not disclose,rather not disclose,no importance
54312,christianity and laughing about it,christianity,laughing
54313,judaism,judaism,no importance
54314,rather not disclose,rather not disclose,no importance
54315,rather not disclose,rather not disclose,no importance
54316,atheism and somewhat serious about it,atheism,somewhat serious
54317,other but not too serious about it,other,no importance
54318,other but not too serious about it,other,no importance
54319,agnosticism,agnosticism,no importance
54320,other and very serious about it,other,no importance
54321,atheism,atheism,no importance
54322,rather not disclose,rather not disclose,no importance
54323,agnosticism and somewhat serious about it,agnosticism,somewhat serious
54324,christianity but not too serious about it,christianity,not too serious
54325,rather not disclose,rather not disclose,no importance
54326,rather not disclose,rather not disclose,no importance
54327,atheism,atheism,no importance
54328,other,other,no importance
54329,other,other,no importance
54330,atheism but not too serious about it,atheism,not too serious
54331,buddhism and somewhat serious about it,buddhism,somewhat serious
54332,rather not disclose,rather not disclose,no importance
54333,agnosticism but not too serious about it,agnosticism,not too serious
54334,catholicism and laughing about it,catholicism,laughing
54335,agnosticism,agnosticism,no importance
54336,judaism,judaism,no importance
54337,rather not disclose,rather not disclose,no importance
54338,rather not disclose,rather not disclose,no importance
54339,judaism but not too serious about it,judaism,not too serious
54340,catholicism but not too serious about it,catholicism,not too serious
54341,other,other,no importance
54342,judaism and laughing about it,judaism,laughing
54343,other and laughing about it,other,no importance
54344,atheism and very serious about it,atheism,very serious
54345,christianity,christianity,no importance
54346,other and somewhat serious about it,other,no importance
54347,christianity and laughing about it,christianity,laughing
54348,rather not disclose,rather not disclose,no importance
54349,other but not too serious about it,other,no importance
54350,rather not disclose,rather not disclose,no importance
54351,agnosticism and very serious about it,agnosticism,very serious
54352,judaism but not too serious about it,judaism,not too serious
54353,rather not disclose,rather not disclose,no importance
54354,other and laughing about it,other,no importance
54355,other,other,no importance
54356,rather not disclose,rather not disclose,no importance
54357,rather not disclose,rather not disclose,no importance
54358,rather not disclose,rather not disclose,no importance
54359,agnosticism but not too serious about it,agnosticism,not too serious
54360,catholicism and laughing about it,catholicism,laughing
54361,rather not disclose,rather not disclose,no importance
54362,buddhism and laughing about it,buddhism,laughing
54363,rather not disclose,rather not disclose,no importance
54364,rather not disclose,rather not disclose,no importance
54365,atheism and somewhat serious about it,atheism,somewhat serious
54366,agnosticism,agnosticism,no importance
54367,rather not disclose,rather not disclose,no importance
54368,catholicism,catholicism,no importance
54369,rather not disclose,rather not disclose,no importance
54370,rather not disclose,rather not disclose,no importance
54371,agnosticism but not too serious about it,agnosticism,not too serious
54372,rather not disclose,rather not disclose,no importance
54373,agnosticism but not too serious about it,agnosticism,not too serious
54374,other and laughing about it,other,no importance
54375,rather not disclose,rather not disclose,no importance
54376,agnosticism but not too serious about it,agnosticism,not too serious
54377,judaism but not too serious about it,judaism,not too serious
54378,christianity and somewhat serious about it,christianity,somewhat serious
54379,other,other,no importance
54380,rather not disclose,rather not disclose,no importance
54381,judaism but not too serious about it,judaism,not too serious
54382,atheism and laughing about it,atheism,laughing
54383,other and laughing about it,other,no importance
54384,rather not disclose,rather not disclose,no importance
54385,judaism,judaism,no importance
54386,christianity but not too serious about it,christianity,not too serious
54387,rather not disclose,rather not disclose,no importance
54388,rather not disclose,rather not disclose,no importance
54389,christianity,christianity,no importance
54390,rather not disclose,rather not disclose,no importance
54391,agnosticism,agnosticism,no importance
54392,other and somewhat serious about it,other,no importance
54393,rather not disclose,rather not disclose,no importance
54394,other,other,no importance
54395,agnosticism but not too serious about it,agnosticism,not too serious
54396,christianity but not too serious about it,christianity,not too serious
54397,christianity and laughing about it,christianity,laughing
54398,christianity,christianity,no importance
54399,judaism,judaism,no importance
54400,rather not disclose,rather not disclose,no importance
54401,christianity,christianity,no importance
54402,other,other,no importance
54403,rather not disclose,rather not disclose,no importance
54404,christianity and very serious about it,christianity,very serious
54405,rather not disclose,rather not disclose,no importance
54406,other and laughing about it,other,no importance
54407,rather not disclose,rather not disclose,no importance
54408,rather not disclose,rather not disclose,no importance
54409,rather not disclose,rather not disclose,no importance
54410,atheism,atheism,no importance
54411,catholicism and laughing about it,catholicism,laughing
54412,rather not disclose,rather not disclose,no importance
54413,rather not disclose,rather not disclose,no importance
54414,other but not too serious about it,other,no importance
54415,atheism and very serious about it,atheism,very serious
54416,rather not disclose,rather not disclose,no importance
54417,judaism and somewhat serious about it,judaism,somewhat serious
54418,agnosticism,agnosticism,no importance
54419,judaism but not too serious about it,judaism,not too serious
54420,other and somewhat serious about it,other,no importance
54421,rather not disclose,rather not disclose,no importance
54422,islam and somewhat serious about it,islam,somewhat serious
54423,agnosticism,agnosticism,no importance
54424,christianity,christianity,no importance
54425,other,other,no importance
54426,rather not disclose,rather not disclose,no importance
